time,open,high,low,close,"Pattern Alert",Volume
1558299600,0.92883,0.92911,0.92731,0.92771,0,0
1558299900,0.92771,0.92771,0.92644,0.9267,0,0
1558300200,0.9267,0.92747,0.92661,0.92735,0,0
1558300500,0.92735,0.92752,0.92684,0.92735,0,0
1558300800,0.92735,0.9275,0.92734,0.92748,0,0
1558301100,0.92748,0.92758,0.92741,0.92754,0,0
1558301400,0.92754,0.92761,0.92702,0.92726,0,0
1558301700,0.92726,0.92776,0.92708,0.92768,0,0
1558302000,0.92768,0.92772,0.92757,0.92769,0,0
1558302300,0.92769,0.92786,0.92763,0.92779,0,0
1558302600,0.92779,0.92786,0.92772,0.92773,0,0
1558302900,0.92773,0.92795,0.9277,0.92792,0,0
1558303200,0.92792,0.92798,0.92722,0.92768,0,0
1558303500,0.92768,0.92791,0.92756,0.92771,0,0
1558303800,0.92771,0.92772,0.92751,0.92758,0,0
1558304100,0.92758,0.92771,0.92757,0.92763,0,0
1558304400,0.92763,0.92765,0.92756,0.92758,0,0
1558304700,0.92758,0.9282,0.92752,0.92805,0,0
1558305000,0.92805,0.92826,0.92791,0.92795,0,0
1558305300,0.92795,0.92795,0.92771,0.92771,0,0
1558305600,0.92771,0.92773,0.92739,0.92739,0,0
1558305900,0.92739,0.92739,0.92705,0.92714,0,0
1558306200,0.92714,0.92725,0.92706,0.9272,0,0
1558306500,0.9272,0.92726,0.92706,0.92707,0,0
1558306800,0.92707,0.92756,0.92695,0.92737,0,0
1558307100,0.92737,0.92773,0.92737,0.92757,0,0
1558307400,0.92757,0.92784,0.92753,0.92756,0,0
1558307700,0.92756,0.92788,0.92753,0.92786,0,0
1558308000,0.92786,0.92802,0.92777,0.92802,0,0
1558308300,0.92802,0.92802,0.92783,0.92789,0,0
1558308600,0.92789,0.92825,0.92787,0.92811,0,0
1558308900,0.92811,0.92811,0.9279,0.92802,0,0
1558309200,0.92802,0.92808,0.9278,0.92802,0,0
1558309500,0.92802,0.92819,0.92796,0.92798,0,0
1558309800,0.92798,0.92851,0.92793,0.92847,0,0
1558310100,0.92847,0.92851,0.92795,0.92798,0,0
1558310400,0.92798,0.92813,0.9278,0.928,0,0
1558310700,0.928,0.92804,0.92759,0.92767,0,0
1558311000,0.92767,0.92808,0.92766,0.92787,0,0
1558311300,0.92787,0.92806,0.92786,0.92797,0,0
1558311600,0.92797,0.92816,0.92796,0.92809,0,0
1558311900,0.92809,0.92843,0.92802,0.92821,0,0
1558312200,0.92821,0.92852,0.92814,0.92842,0,0
1558312500,0.92842,0.9285,0.92821,0.9283,0,0
1558312800,0.9283,0.92845,0.92828,0.9284,0,0
1558313100,0.9284,0.92847,0.92831,0.92838,0,0
1558313400,0.92838,0.92881,0.92836,0.92865,0,0
1558313700,0.92865,0.92892,0.92848,0.92887,0,0
1558314000,0.92887,0.92889,0.92869,0.92869,0,0
1558314300,0.92869,0.92873,0.92842,0.92853,0,0
1558314600,0.92853,0.92854,0.92825,0.92842,0,0
1558314900,0.92842,0.92876,0.92836,0.92873,0,0
1558315200,0.92873,0.92883,0.92856,0.92858,0,0
1558315500,0.92858,0.92928,0.92857,0.92925,0,0
1558315800,0.92925,0.9293,0.92871,0.92878,0,0
1558316100,0.92878,0.9289,0.92873,0.9288,0,0
1558316400,0.9288,0.9288,0.92846,0.92846,0,0
1558316700,0.92846,0.92877,0.92846,0.92858,0,0
1558317000,0.92858,0.92863,0.92845,0.92859,0,0
1558317300,0.92859,0.92864,0.92842,0.9286,0,0
1558317600,0.9286,0.92869,0.92848,0.9285,0,0
1558317900,0.9285,0.92873,0.92842,0.92865,0,0
1558318200,0.92865,0.92869,0.92841,0.92848,0,0
1558318500,0.92848,0.92852,0.92831,0.9284,0,0
1558318800,0.9284,0.92845,0.92833,0.92837,0,0
1558319100,0.92837,0.92855,0.92832,0.92847,0,0
1558319400,0.92847,0.92904,0.92843,0.92886,0,0
1558319700,0.92886,0.92889,0.92835,0.92839,0,0
1558320000,0.92839,0.92866,0.92838,0.92864,0,0
1558320300,0.92864,0.92875,0.92856,0.92875,0,0
1558320600,0.92875,0.9288,0.92853,0.92863,0,0
1558320900,0.92863,0.92869,0.92849,0.92867,0,0
1558321200,0.92867,0.9289,0.92852,0.92888,0,0
1558321500,0.92888,0.92898,0.92883,0.92893,0,0
1558321800,0.92893,0.92904,0.92889,0.92904,0,0
1558322100,0.92904,0.92918,0.9289,0.92902,0,0
1558322400,0.92902,0.92905,0.92896,0.92903,0,0
1558322700,0.92903,0.92911,0.92894,0.92908,0,0
1558323000,0.92908,0.92916,0.92894,0.92894,0,0
1558323300,0.92894,0.92907,0.9289,0.92907,0,0
1558323600,0.92907,0.92918,0.92904,0.92917,0,0
1558323900,0.92917,0.92923,0.92917,0.9292,0,0
1558324200,0.9292,0.92927,0.92917,0.92919,0,0
1558324500,0.92919,0.92924,0.92906,0.92907,0,0
1558324800,0.92907,0.92923,0.92906,0.92922,0,0
1558325100,0.92922,0.92927,0.9292,0.92923,0,0
1558325400,0.92923,0.92934,0.92918,0.92927,0,0
1558325700,0.92927,0.92932,0.92918,0.92922,0,0
1558326000,0.92922,0.92932,0.92919,0.92921,0,0
1558326300,0.92921,0.92942,0.92921,0.92928,0,0
1558326600,0.92928,0.92938,0.92924,0.92935,0,0
1558326900,0.92935,0.92941,0.92926,0.92937,0,0
1558327200,0.92937,0.92939,0.92932,0.92939,0,0
1558327500,0.92939,0.92967,0.92932,0.9294,0,0
1558327800,0.9294,0.92948,0.92935,0.92938,0,0
1558328100,0.92938,0.92946,0.92937,0.92937,0,0
1558328400,0.92937,0.92945,0.92931,0.92936,0,0
1558328700,0.92936,0.92959,0.92936,0.9294,0,0
1558329000,0.9294,0.92941,0.92925,0.92938,0,0
1558329300,0.92938,0.9294,0.92933,0.92939,0,0
1558329600,0.92939,0.92949,0.92934,0.92934,0,0
1558329900,0.92934,0.92951,0.92927,0.92927,0,0
1558330200,0.92927,0.92954,0.92925,0.92954,0,0
1558330500,0.92954,0.92958,0.92946,0.92951,0,0
1558330800,0.92951,0.92957,0.92931,0.92942,0,0
1558331100,0.92942,0.92942,0.92929,0.92939,0,0
1558331400,0.92939,0.92945,0.92928,0.92935,0,0
1558331700,0.92935,0.9295,0.92909,0.92933,0,0
1558332000,0.92933,0.92964,0.92933,0.92959,0,0
1558332300,0.92959,0.92966,0.92947,0.92951,0,0
1558332600,0.92951,0.92964,0.9295,0.92959,0,0
1558332900,0.92959,0.92959,0.92916,0.92933,0,0
1558333200,0.92933,0.9297,0.92933,0.92968,0,0
1558333500,0.92968,0.92979,0.92967,0.92972,0,0
1558333800,0.92972,0.9299,0.92966,0.92975,0,0
1558334100,0.92975,0.92997,0.92973,0.92985,0,0
1558334400,0.92985,0.93005,0.92983,0.93004,0,0
1558334700,0.93004,0.93008,0.92996,0.92998,0,0
1558335000,0.92998,0.93005,0.92977,0.92979,0,0
1558335300,0.92979,0.92998,0.92975,0.92998,0,0
1558335600,0.92998,0.93011,0.92985,0.93,0,0
1558335900,0.93,0.93012,0.92991,0.93007,0,0
1558336200,0.93007,0.93026,0.92995,0.9302,0,0
1558336500,0.9302,0.93029,0.93002,0.93011,0,0
1558336800,0.93011,0.93035,0.93006,0.93032,0,0
1558337100,0.93032,0.93064,0.9303,0.93058,0,0
1558337400,0.93058,0.93064,0.9303,0.93041,0,0
1558337700,0.93041,0.93053,0.93035,0.93039,0,0
1558338000,0.93039,0.93041,0.93021,0.93023,0,0
1558338300,0.93023,0.93043,0.93023,0.93037,0,0
1558338600,0.93037,0.93063,0.93037,0.93061,0,0
1558338900,0.93061,0.93066,0.93045,0.93057,0,0
1558339200,0.93057,0.93074,0.93051,0.93069,0,0
1558339500,0.93069,0.93073,0.93058,0.93058,0,0
1558339800,0.93058,0.93089,0.93054,0.93086,0,0
1558340100,0.93086,0.93088,0.93069,0.93073,0,0
1558340400,0.93073,0.93092,0.93064,0.93066,0,0
1558340700,0.93066,0.93072,0.9306,0.93071,0,0
1558341000,0.93071,0.93075,0.93054,0.9306,0,0
1558341300,0.9306,0.93104,0.93057,0.93104,0,0
1558341600,0.93104,0.93122,0.93081,0.93084,0,0
1558341900,0.93084,0.93096,0.93073,0.93081,0,0
1558342200,0.93081,0.93087,0.93033,0.93061,0,0
1558342500,0.93061,0.93062,0.93026,0.93028,0,0
1558342800,0.93028,0.93039,0.9301,0.93014,0,0
1558343100,0.93014,0.93021,0.93003,0.93011,0,0
1558343400,0.93011,0.93014,0.93003,0.93006,0,0
1558343700,0.93006,0.93022,0.93005,0.9301,0,0
1558344000,0.9301,0.93026,0.93,0.93025,0,0
1558344300,0.93025,0.93048,0.93022,0.93036,0,0
1558344600,0.93036,0.93057,0.93024,0.93052,0,0
1558344900,0.93052,0.93055,0.93035,0.93044,0,0
1558345200,0.93044,0.93051,0.93038,0.93043,0,0
1558345500,0.93043,0.93047,0.9302,0.93025,0,0
1558345800,0.93025,0.93027,0.9301,0.93011,0,0
1558346100,0.93011,0.93041,0.9301,0.9304,0,0
1558346400,0.9304,0.9304,0.93017,0.93032,0,0
1558346700,0.93032,0.93035,0.93003,0.9302,0,0
1558347000,0.9302,0.93034,0.93013,0.93025,0,0
1558347300,0.93025,0.93025,0.92986,0.9299,0,0
1558347600,0.9299,0.93004,0.92981,0.92981,0,0
1558347900,0.92981,0.92987,0.92953,0.92967,0,0
1558348200,0.92967,0.92974,0.92955,0.92966,0,0
1558348500,0.92966,0.92985,0.92964,0.92977,0,0
1558348800,0.92977,0.92988,0.92966,0.92967,0,0
1558349100,0.92967,0.92967,0.92911,0.92917,0,0
1558349400,0.92917,0.92921,0.92906,0.92919,0,0
1558349700,0.92919,0.92927,0.92913,0.9292,0,0
1558350000,0.9292,0.92931,0.92918,0.92931,0,0
1558350300,0.92931,0.92937,0.92924,0.92926,0,0
1558350600,0.92926,0.9294,0.92908,0.92919,0,0
1558350900,0.92919,0.92934,0.92909,0.9293,0,0
1558351200,0.9293,0.92944,0.92928,0.92937,0,0
1558351500,0.92937,0.92951,0.92936,0.92949,0,0
1558351800,0.92949,0.92955,0.92941,0.92951,0,0
1558352100,0.92951,0.92962,0.92937,0.9295,0,0
1558352400,0.9295,0.9296,0.92947,0.92956,0,0
1558352700,0.92956,0.92976,0.92954,0.92976,0,0
1558353000,0.92976,0.92979,0.92931,0.92936,0,0
1558353300,0.92936,0.9294,0.92921,0.92922,0,0
1558353600,0.92922,0.92931,0.929,0.92903,0,0
1558353900,0.92903,0.92904,0.92861,0.92871,0,0
1558354200,0.92871,0.92918,0.92869,0.92917,0,0
1558354500,0.92917,0.92917,0.92882,0.92887,0,0
1558354800,0.92887,0.92889,0.92842,0.92846,0,0
1558355100,0.92846,0.92856,0.92825,0.92826,0,0
1558355400,0.92826,0.92833,0.92806,0.9282,0,0
1558355700,0.9282,0.9288,0.9282,0.92876,0,0
1558356000,0.92876,0.92879,0.92843,0.92847,0,0
1558356300,0.92847,0.92862,0.9284,0.92853,0,0
1558356600,0.92853,0.92863,0.92845,0.92852,0,0
1558356900,0.92852,0.92861,0.92831,0.92837,0,0
1558357200,0.92837,0.9288,0.92836,0.92879,0,0
1558357500,0.92879,0.92887,0.92858,0.92859,0,0
1558357800,0.92859,0.9288,0.92855,0.92874,0,0
1558358100,0.92874,0.92876,0.92845,0.92853,0,0
1558358400,0.92853,0.92856,0.92833,0.92846,0,0
1558358700,0.92846,0.9287,0.9284,0.92864,0,0
1558359000,0.92864,0.92864,0.92826,0.92846,0,0
1558359300,0.92846,0.92881,0.92844,0.92856,0,0
1558359600,0.92856,0.92856,0.92825,0.9283,0,0
1558359900,0.9283,0.9284,0.92803,0.92813,0,0
1558360200,0.92813,0.92825,0.92799,0.92807,0,0
1558360500,0.92807,0.92811,0.92784,0.92807,0,0
1558360800,0.92807,0.92837,0.92803,0.92822,0,0
1558361100,0.92822,0.92828,0.92808,0.92817,0,0
1558361400,0.92817,0.92822,0.928,0.92816,0,0
