time,open,high,low,close,"Pattern Alert",Volume
1562351400,0.69232,0.69243,0.69228,0.69236,0,0
1562351700,0.69236,0.69255,0.69234,0.69249,0,0
1562352000,0.69249,0.69255,0.69241,0.69244,0,0
1562352300,0.69244,0.6926,0.69243,0.69252,0,0
1562352600,0.69252,0.69252,0.69241,0.69248,0,0
1562352900,0.69248,0.69248,0.69222,0.69222,0,0
1562353200,0.69222,0.69228,0.69216,0.69226,0,0
1562353500,0.69226,0.69242,0.69226,0.69242,0,0
1562353800,0.69242,0.69243,0.6923,0.69242,0,0
1562354100,0.69242,0.69249,0.69233,0.69245,0,0
1562354400,0.69245,0.69245,0.69226,0.69239,0,0
1562354700,0.69239,0.6924,0.69226,0.69229,0,0
1562355000,0.69229,0.6924,0.69228,0.69236,0,0
1562355300,0.69236,0.69243,0.69234,0.69242,0,0
1562355600,0.69242,0.69244,0.69234,0.69241,0,0
1562355900,0.69241,0.6926,0.69241,0.69253,0,0
1562356200,0.69253,0.69254,0.69234,0.69245,0,0
1562356500,0.69245,0.69245,0.69229,0.69234,0,0
1562356800,0.69234,0.69234,0.69206,0.69207,0,0
1562357100,0.69207,0.69215,0.69206,0.69209,0,0
1562357400,0.69209,0.6923,0.69208,0.6923,0,0
1562357700,0.6923,0.69233,0.69224,0.69229,0,0
1562358000,0.69229,0.69229,0.69215,0.69215,0,0
1562358300,0.69215,0.69219,0.69192,0.69194,0,0
1562358600,0.69194,0.6921,0.69194,0.69206,0,0
1562358900,0.69206,0.69211,0.69197,0.69205,0,0
1562359200,0.69205,0.69205,0.6919,0.69197,0,0
1562359500,0.69197,0.69219,0.69193,0.69211,0,0
1562359800,0.69211,0.69212,0.692,0.692,0,0
1562360100,0.692,0.69205,0.69168,0.69174,0,0
