time,open,high,low,close,"Pattern Alert",Volume
1572818400,74.756,74.82,74.756,74.814,0,0
1572818700,74.814,74.821,74.806,74.811,0,0
1572819000,74.811,74.816,74.762,74.782,0,0
1572819300,74.782,74.788,74.775,74.788,0,0
1572819600,74.788,74.788,74.776,74.783,0,0
1572819900,74.783,74.784,74.778,74.779,0,0
1572820200,74.779,74.783,74.774,74.783,0,0
1572820500,74.783,74.788,74.778,74.788,0,0
1572820800,74.788,74.798,74.78,74.798,0,0
1572821100,74.798,74.81,74.798,74.8,0,0
1572821400,74.8,74.805,74.784,74.803,0,0
1572821700,74.803,74.803,74.755,74.77,0,0
1572822000,74.77,74.786,74.754,74.758,0,0
1572822300,74.758,74.774,74.754,74.772,0,0
1572822600,74.772,74.787,74.765,74.78,0,0
1572822900,74.78,74.787,74.774,74.779,0,0
1572823200,74.779,74.788,74.765,74.781,0,0
1572823500,74.781,74.793,74.779,74.783,0,0
1572823800,74.783,74.791,74.775,74.78,0,0
1572824100,74.78,74.805,74.775,74.8,0,0
1572824400,74.8,74.824,74.8,74.824,0,0
1572824700,74.824,74.831,74.815,74.818,0,0
1572825000,74.818,74.83,74.818,74.82,0,0
1572825300,74.82,74.834,74.818,74.831,0,0
1572825600,74.831,74.857,74.83,74.834,0,0
1572825900,74.834,74.853,74.834,74.853,0,0
1572826200,74.853,74.853,74.837,74.848,0,0
1572826500,74.848,74.85,74.824,74.824,0,0
1572826800,74.824,74.853,74.823,74.85,0,0
1572827100,74.85,74.856,74.807,74.819,0,0
1572827400,74.819,74.835,74.71,74.828,0,0
1572827700,74.828,74.828,74.742,74.744,0,0
1572828000,74.744,74.752,74.713,74.738,0,0
1572828300,74.738,74.739,74.713,74.725,0,0
1572828600,74.725,74.761,74.724,74.759,0,0
1572828900,74.759,74.759,74.737,74.749,0,0
1572829200,74.749,74.768,74.738,74.765,0,0
1572829500,74.765,74.774,74.742,74.754,0,0
1572829800,74.754,74.759,74.743,74.755,0,0
1572830100,74.755,74.783,74.753,74.772,0,0
1572830400,74.772,74.775,74.764,74.771,0,0
1572830700,74.771,74.783,74.768,74.775,0,0
1572831000,74.775,74.787,74.771,74.785,0,0
1572831300,74.785,74.815,74.783,74.815,0,0
1572831600,74.815,74.819,74.802,74.808,0,0
1572831900,74.808,74.827,74.792,74.825,0,0
1572832200,74.825,74.827,74.808,74.827,0,0
1572832500,74.827,74.833,74.809,74.816,0,0
1572832800,74.816,74.818,74.806,74.817,0,0
1572833100,74.817,74.827,74.815,74.827,0,0
1572833400,74.827,74.833,74.825,74.825,0,0
1572833700,74.825,74.845,74.825,74.842,0,0
1572834000,74.842,74.844,74.827,74.836,0,0
1572834300,74.836,74.846,74.83,74.831,0,0
1572834600,74.831,74.841,74.829,74.84,0,0
1572834900,74.84,74.882,74.835,74.872,0,0
1572835200,74.872,74.874,74.859,74.861,0,0
1572835500,74.861,74.909,74.861,74.909,0,0
1572835800,74.909,74.909,74.896,74.9,0,0
1572836100,74.9,74.924,74.888,74.915,0,0
1572836400,74.915,74.915,74.867,74.881,0,0
1572836700,74.881,74.892,74.871,74.879,0,0
1572837000,74.879,74.907,74.879,74.896,0,0
1572837300,74.896,74.916,74.896,74.905,0,0
1572837600,74.905,74.905,74.89,74.902,0,0
1572837900,74.902,74.902,74.89,74.894,0,0
1572838200,74.894,74.9,74.89,74.893,0,0
1572838500,74.893,74.9,74.892,74.899,0,0
1572838800,74.899,74.916,74.894,74.908,0,0
1572839100,74.908,74.91,74.898,74.9,0,0
1572839400,74.9,74.912,74.898,74.902,0,0
1572839700,74.902,74.902,74.888,74.892,0,0
1572840000,74.892,74.911,74.884,74.903,0,0
1572840300,74.903,74.91,74.893,74.9,0,0
1572840600,74.9,74.9,74.887,74.898,0,0
1572840900,74.898,74.898,74.884,74.897,0,0
1572841200,74.897,74.912,74.897,74.906,0,0
1572841500,74.906,74.912,74.904,74.909,0,0
1572841800,74.909,74.911,74.899,74.904,0,0
1572842100,74.904,74.91,74.902,74.903,0,0
1572842400,74.903,74.904,74.898,74.899,0,0
1572842700,74.899,74.899,74.892,74.893,0,0
1572843000,74.893,74.899,74.891,74.894,0,0
1572843300,74.894,74.895,74.881,74.881,0,0
1572843600,74.881,74.885,74.872,74.874,0,0
1572843900,74.874,74.882,74.869,74.872,0,0
1572844200,74.872,74.884,74.869,74.883,0,0
1572844500,74.883,74.885,74.88,74.881,0,0
1572844800,74.881,74.882,74.878,74.879,0,0
1572845100,74.879,74.879,74.87,74.873,0,0
1572845400,74.873,74.873,74.86,74.863,0,0
1572845700,74.863,74.864,74.844,74.85,0,0
1572846000,74.85,74.858,74.846,74.858,0,0
1572846300,74.858,74.87,74.856,74.869,0,0
1572846600,74.869,74.885,74.867,74.881,0,0
1572846900,74.881,74.896,74.879,74.896,0,0
1572847200,74.896,74.902,74.887,74.902,0,0
1572847500,74.902,74.906,74.891,74.904,0,0
1572847800,74.904,74.922,74.903,74.916,0,0
1572848100,74.916,74.936,74.913,74.936,0,0
1572848400,74.936,74.944,74.933,74.938,0,0
1572848700,74.938,74.945,74.934,74.941,0,0
1572849000,74.941,74.949,74.934,74.937,0,0
1572849300,74.937,74.946,74.924,74.924,0,0
1572849600,74.924,74.932,74.92,74.924,0,0
1572849900,74.924,74.935,74.923,74.928,0,0
1572850200,74.928,74.928,74.909,74.91,0,0
1572850500,74.91,74.916,74.904,74.905,0,0
1572850800,74.905,74.916,74.894,74.9,0,0
1572851100,74.9,74.92,74.896,74.92,0,0
1572851400,74.92,74.957,74.916,74.951,0,0
1572851700,74.951,74.992,74.951,74.989,0,0
1572852000,74.989,75.001,74.978,74.982,0,0
1572852300,74.982,74.995,74.973,74.98,0,0
1572852600,74.98,74.994,74.98,74.989,0,0
1572852900,74.989,74.998,74.975,74.975,0,0
1572853200,74.975,74.976,74.966,74.967,0,0
1572853500,74.967,74.979,74.955,74.96,0,0
1572853800,74.96,74.979,74.953,74.979,0,0
1572854100,74.979,74.99,74.97,74.976,0,0
1572854400,74.976,74.981,74.939,74.94,0,0
1572854700,74.94,74.955,74.927,74.948,0,0
1572855000,74.948,74.968,74.926,74.96,0,0
1572855300,74.96,74.981,74.924,74.924,0,0
1572855600,74.924,74.953,74.924,74.949,0,0
1572855900,74.949,74.955,74.928,74.943,0,0
1572856200,74.943,74.945,74.92,74.938,0,0
1572856500,74.938,74.959,74.935,74.955,0,0
1572856800,74.955,74.968,74.95,74.961,0,0
1572857100,74.961,74.966,74.939,74.939,0,0
1572857400,74.939,74.944,74.922,74.929,0,0
1572857700,74.929,74.942,74.927,74.929,0,0
1572858000,74.929,74.94,74.921,74.935,0,0
1572858300,74.935,74.937,74.916,74.918,0,0
1572858600,74.918,74.918,74.88,74.884,0,0
1572858900,74.884,74.909,74.884,74.901,0,0
1572859200,74.901,74.908,74.888,74.903,0,0
1572859500,74.903,74.905,74.877,74.89,0,0
1572859800,74.89,74.893,74.86,74.861,0,0
1572860100,74.861,74.89,74.861,74.883,0,0
1572860400,74.883,74.888,74.872,74.873,0,0
1572860700,74.873,74.883,74.864,74.864,0,0
1572861000,74.864,74.884,74.863,74.882,0,0
1572861300,74.882,74.923,74.88,74.917,0,0
1572861600,74.917,74.928,74.915,74.927,0,0
1572861900,74.927,74.932,74.912,74.922,0,0
1572862200,74.922,74.927,74.909,74.921,0,0
1572862500,74.921,74.941,74.917,74.937,0,0
1572862800,74.937,74.939,74.923,74.929,0,0
1572863100,74.929,74.94,74.911,74.913,0,0
1572863400,74.913,74.913,74.876,74.904,0,0
1572863700,74.904,74.905,74.897,74.898,0,0
1572864000,74.898,74.916,74.895,74.907,0,0
1572864300,74.907,74.926,74.907,74.922,0,0
1572864600,74.922,74.937,74.919,74.927,0,0
1572864900,74.927,74.93,74.913,74.917,0,0
1572865200,74.917,74.922,74.908,74.915,0,0
1572865500,74.915,74.929,74.914,74.929,0,0
1572865800,74.929,74.934,74.923,74.927,0,0
1572866100,74.927,74.937,74.919,74.931,0,0
1572866400,74.931,74.934,74.923,74.927,0,0
1572866700,74.927,74.932,74.919,74.926,0,0
1572867000,74.926,74.926,74.899,74.904,0,0
1572867300,74.904,74.915,74.9,74.91,0,0
1572867600,74.91,74.933,74.909,74.921,0,0
1572867900,74.921,74.943,74.919,74.934,0,0
1572868200,74.934,74.94,74.926,74.93,0,0
1572868500,74.93,74.945,74.93,74.937,0,0
1572868800,74.937,74.95,74.93,74.948,0,0
1572869100,74.948,74.948,74.925,74.925,0,0
1572869400,74.925,74.941,74.924,74.935,0,0
1572869700,74.935,74.943,74.928,74.94,0,0
1572870000,74.94,74.944,74.925,74.926,0,0
1572870300,74.926,74.936,74.926,74.932,0,0
1572870600,74.932,74.937,74.875,74.879,0,0
1572870900,74.879,74.879,74.85,74.85,0,0
1572871200,74.85,74.864,74.849,74.854,0,0
1572871500,74.854,74.863,74.844,74.85,0,0
1572871800,74.85,74.859,74.846,74.849,0,0
1572872100,74.849,74.869,74.849,74.869,0,0
1572872400,74.869,74.869,74.85,74.851,0,0
1572872700,74.851,74.853,74.832,74.846,0,0
1572873000,74.846,74.85,74.824,74.834,0,0
1572873300,74.834,74.854,74.827,74.854,0,0
1572873600,74.854,74.861,74.839,74.859,0,0
1572873900,74.859,74.865,74.851,74.853,0,0
1572874200,74.853,74.907,74.85,74.881,0,0
1572874500,74.881,74.888,74.866,74.886,0,0
1572874800,74.886,74.903,74.883,74.903,0,0
1572875100,74.903,74.908,74.88,74.882,0,0
1572875400,74.882,74.89,74.873,74.874,0,0
1572875700,74.874,74.88,74.868,74.87,0,0
1572876000,74.87,74.877,74.85,74.854,0,0
1572876300,74.854,74.883,74.854,74.883,0,0
1572876600,74.883,74.889,74.865,74.866,0,0
1572876900,74.866,74.891,74.86,74.879,0,0
1572877200,74.879,74.889,74.874,74.883,0,0
1572877500,74.883,74.885,74.876,74.876,0,0
1572877800,74.876,74.89,74.867,74.879,0,0
1572878100,74.879,74.907,74.878,74.899,0,0
1572878400,74.899,74.917,74.896,74.897,0,0
1572878700,74.897,74.906,74.881,74.896,0,0
1572879000,74.896,74.908,74.887,74.904,0,0
1572879300,74.904,74.908,74.886,74.888,0,0
1572879600,74.888,74.903,74.869,74.902,0,0
1572879900,74.902,74.923,74.899,74.909,0,0
1572880200,74.909,74.91,74.851,74.863,0,0
1572880500,74.863,74.863,74.837,74.847,0,0
1572880800,74.847,74.867,74.841,74.867,0,0
1572881100,74.867,74.868,74.846,74.857,0,0
1572881400,74.857,74.888,74.85,74.888,0,0
1572881700,74.888,74.9,74.882,74.891,0,0
1572882000,74.891,74.912,74.891,74.897,0,0
1572882300,74.897,74.897,74.879,74.895,0,0
