time,open,high,low,close,"Pattern Alert",Volume
1553020200,83.707,83.711,83.697,83.701,0,0
1553020500,83.701,83.708,83.687,83.692,0,0
1553020800,83.692,83.71,83.692,83.71,0,0
1553021100,83.71,83.713,83.699,83.707,0,0
1553021400,83.707,83.708,83.697,83.707,0,0
1553021700,83.707,83.716,83.691,83.71,0,0
1553022000,83.71,83.711,83.693,83.697,0,0
1553022300,83.697,83.709,83.689,83.689,0,0
1553022600,83.689,83.697,83.674,83.681,0,0
1553022900,83.681,83.682,83.657,83.665,0,0
1553023200,83.665,83.666,83.636,83.641,0,0
1553023500,83.641,83.643,83.615,83.616,0,0
1553023800,83.616,83.626,83.612,83.615,0,0
1553024100,83.615,83.615,83.591,83.593,0,0
1553024400,83.593,83.605,83.579,83.579,0,0
1553024700,83.579,83.619,83.579,83.614,0,0
1553025000,83.614,83.636,83.614,83.624,0,0
1553025300,83.624,83.674,83.624,83.673,0,0
1553025600,83.673,83.673,83.657,83.661,0,0
1553025900,83.661,83.664,83.654,83.654,0,0
1553026200,83.654,83.668,83.653,83.667,0,0
1553026500,83.667,83.668,83.645,83.647,0,0
1553026800,83.647,83.652,83.638,83.639,0,0
1553027100,83.639,83.64,83.623,83.623,0,0
1553027400,83.623,83.638,83.622,83.623,0,0
1553027700,83.623,83.624,83.606,83.609,0,0
1553028000,83.609,83.609,83.583,83.583,0,0
1553028300,83.583,83.586,83.572,83.586,0,0
1553028600,83.586,83.614,83.584,83.614,0,0
1553028900,83.614,83.614,83.586,83.588,0,0
1553029200,83.588,83.603,83.534,83.559,0,0
1553029500,83.559,83.616,83.555,83.598,0,0
1553029800,83.598,83.605,83.586,83.596,0,0
1553030100,83.596,83.609,83.592,83.596,0,0
1553030400,83.596,83.616,83.576,83.597,0,0
1553030700,83.597,83.618,83.596,83.609,0,0
1553031000,83.609,83.616,83.597,83.605,0,0
1553031300,83.605,83.607,83.6,83.605,0,0
1553031600,83.605,83.605,83.594,83.599,0,0
1553031900,83.599,83.602,83.58,83.582,0,0
1553032200,83.582,83.598,83.582,83.588,0,0
1553032500,83.588,83.596,83.585,83.595,0,0
1553032800,83.595,83.599,83.583,83.584,0,0
1553033100,83.584,83.585,83.575,83.579,0,0
1553033400,83.579,83.587,83.578,83.583,0,0
1553033700,83.583,83.584,83.58,83.581,0,0
1553034000,83.581,83.584,83.579,83.583,0,0
1553034300,83.583,83.583,83.573,83.578,0,0
1553034600,83.578,83.581,83.574,83.58,0,0
1553034900,83.58,83.586,83.57,83.575,0,0
1553035200,83.575,83.611,83.572,83.611,0,0
1553035500,83.611,83.612,83.575,83.603,0,0
1553035800,83.603,83.604,83.568,83.592,0,0
1553036100,83.592,83.593,83.575,83.577,0,0
1553036400,83.577,83.591,83.571,83.577,0,0
1553036700,83.577,83.58,83.566,83.574,0,0
1553037000,83.574,83.592,83.57,83.589,0,0
1553037300,83.589,83.593,83.581,83.584,0,0
1553037600,83.584,83.592,83.563,83.581,0,0
1553037900,83.581,83.585,83.576,83.584,0,0
1553038200,83.584,83.586,83.581,83.581,0,0
1553038500,83.581,83.582,83.574,83.582,0,0
1553038800,83.582,83.59,83.581,83.585,0,0
1553039100,83.585,83.609,83.585,83.609,0,0
1553039400,83.609,83.616,83.601,83.608,0,0
1553039700,83.608,83.62,83.603,83.615,0,0
1553040000,83.615,83.666,83.611,83.664,0,0
1553040300,83.664,83.682,83.653,83.679,0,0
1553040600,83.679,83.679,83.663,83.676,0,0
1553040900,83.676,83.677,83.652,83.656,0,0
1553041200,83.656,83.68,83.656,83.662,0,0
1553041500,83.662,83.667,83.655,83.663,0,0
1553041800,83.663,83.675,83.656,83.666,0,0
1553042100,83.666,83.676,83.642,83.646,0,0
1553042400,83.646,83.649,83.617,83.619,0,0
1553042700,83.619,83.634,83.613,83.629,0,0
1553043000,83.629,83.687,83.629,83.668,0,0
1553043300,83.668,83.705,83.662,83.675,0,0
1553043600,83.675,83.706,83.669,83.68,0,0
1553043900,83.68,83.692,83.669,83.689,0,0
1553044200,83.689,83.709,83.689,83.702,0,0
1553044500,83.702,83.72,83.685,83.72,0,0
1553044800,83.72,83.745,83.71,83.724,0,0
1553045100,83.724,83.733,83.704,83.713,0,0
1553045400,83.713,83.717,83.682,83.695,0,0
1553045700,83.695,83.695,83.672,83.69,0,0
1553046000,83.69,83.71,83.681,83.708,0,0
1553046300,83.708,83.737,83.702,83.727,0,0
1553046600,83.727,83.727,83.698,83.702,0,0
1553046900,83.702,83.705,83.696,83.701,0,0
1553047200,83.701,83.73,83.699,83.703,0,0
1553047500,83.703,83.71,83.685,83.696,0,0
1553047800,83.696,83.714,83.681,83.709,0,0
1553048100,83.709,83.715,83.701,83.714,0,0
1553048400,83.714,83.719,83.712,83.714,0,0
1553048700,83.714,83.738,83.714,83.728,0,0
1553049000,83.728,83.749,83.724,83.744,0,0
1553049300,83.744,83.747,83.72,83.734,0,0
1553049600,83.734,83.748,83.728,83.748,0,0
1553049900,83.748,83.752,83.734,83.745,0,0
1553050200,83.745,83.758,83.741,83.749,0,0
1553050500,83.749,83.761,83.749,83.755,0,0
1553050800,83.755,83.76,83.739,83.749,0,0
1553051100,83.749,83.75,83.74,83.74,0,0
1553051400,83.74,83.74,83.723,83.724,0,0
1553051700,83.724,83.733,83.708,83.709,0,0
1553052000,83.709,83.718,83.701,83.703,0,0
1553052300,83.703,83.71,83.699,83.703,0,0
1553052600,83.703,83.718,83.701,83.718,0,0
1553052900,83.718,83.723,83.708,83.711,0,0
1553053200,83.711,83.711,83.701,83.702,0,0
1553053500,83.702,83.705,83.699,83.703,0,0
1553053800,83.703,83.708,83.702,83.708,0,0
1553054100,83.708,83.708,83.701,83.704,0,0
1553054400,83.704,83.708,83.699,83.708,0,0
1553054700,83.708,83.728,83.708,83.722,0,0
1553055000,83.722,83.722,83.71,83.713,0,0
1553055300,83.713,83.718,83.704,83.708,0,0
1553055600,83.708,83.716,83.708,83.715,0,0
1553055900,83.715,83.72,83.713,83.718,0,0
1553056200,83.718,83.72,83.712,83.719,0,0
1553056500,83.719,83.721,83.714,83.715,0,0
1553056800,83.715,83.717,83.694,83.694,0,0
1553057100,83.694,83.7,83.69,83.694,0,0
1553057400,83.694,83.702,83.692,83.701,0,0
1553057700,83.701,83.708,83.698,83.698,0,0
1553058000,83.698,83.716,83.698,83.71,0,0
1553058300,83.71,83.712,83.702,83.703,0,0
1553058600,83.703,83.716,83.703,83.716,0,0
1553058900,83.716,83.718,83.708,83.708,0,0
1553059200,83.708,83.714,83.705,83.712,0,0
1553059500,83.712,83.719,83.699,83.705,0,0
1553059800,83.705,83.706,83.69,83.69,0,0
1553060100,83.69,83.69,83.666,83.669,0,0
1553060400,83.669,83.674,83.666,83.669,0,0
1553060700,83.669,83.67,83.654,83.659,0,0
1553061000,83.659,83.662,83.649,83.65,0,0
1553061300,83.65,83.651,83.644,83.646,0,0
1553061600,83.646,83.681,83.646,83.673,0,0
1553061900,83.673,83.678,83.664,83.668,0,0
1553062200,83.668,83.679,83.664,83.67,0,0
1553062500,83.67,83.675,83.666,83.67,0,0
1553062800,83.67,83.679,83.659,83.669,0,0
1553063100,83.669,83.677,83.667,83.676,0,0
1553063400,83.676,83.68,83.664,83.664,0,0
1553063700,83.664,83.69,83.664,83.678,0,0
1553064000,83.678,83.686,83.669,83.669,0,0
1553064300,83.669,83.676,83.666,83.674,0,0
1553064600,83.674,83.68,83.67,83.674,0,0
1553064900,83.674,83.678,83.664,83.664,0,0
1553065200,83.664,83.674,83.654,83.665,0,0
1553065500,83.665,83.672,83.653,83.664,0,0
