time,open,high,low,close,"Pattern Alert",Volume
1565375400,108.557,108.628,108.549,108.61,0,0
1565375700,108.61,108.625,108.586,108.59,0,0
1565376000,108.59,108.624,108.588,108.611,0,0
1565376300,108.611,108.618,108.596,108.601,0,0
1565376600,108.601,108.605,108.572,108.581,0,0
1565376900,108.581,108.591,108.555,108.588,0,0
1565377200,108.588,108.597,108.571,108.59,0,0
1565377500,108.59,108.606,108.586,108.593,0,0
1565377800,108.593,108.604,108.579,108.604,0,0
1565378100,108.604,108.608,108.59,108.601,0,0
1565378400,108.601,108.601,108.586,108.594,0,0
1565378700,108.594,108.611,108.594,108.602,0,0
1565379000,108.602,108.604,108.582,108.589,0,0
1565379300,108.589,108.609,108.575,108.602,0,0
1565379600,108.602,108.611,108.59,108.607,0,0
1565379900,108.607,108.628,108.604,108.61,0,0
1565380200,108.61,108.611,108.584,108.586,0,0
1565380500,108.586,108.587,108.558,108.559,0,0
1565380800,108.559,108.559,108.539,108.554,0,0
1565381100,108.554,108.571,108.55,108.571,0,0
1565381400,108.571,108.573,108.56,108.563,0,0
1565381700,108.563,108.566,108.552,108.564,0,0
1565382000,108.564,108.569,108.558,108.564,0,0
1565382300,108.564,108.585,108.561,108.576,0,0
1565382600,108.576,108.584,108.573,108.576,0,0
1565382900,108.576,108.576,108.564,108.572,0,0
1565383200,108.572,108.598,108.564,108.586,0,0
1565383500,108.586,108.615,108.578,108.601,0,0
1565383800,108.601,108.642,108.596,108.616,0,0
1565384100,108.616,108.651,108.594,108.622,0,0
