time,open,high,low,close,"Pattern Alert",Volume
1554229800,1.58519,1.58559,1.58519,1.58538,0,0
1554230100,1.58538,1.58541,1.58493,1.58495,0,0
1554230400,1.58495,1.58495,1.58466,1.58483,0,0
1554230700,1.58483,1.58487,1.58458,1.58472,0,0
1554231000,1.58472,1.58514,1.58468,1.58507,0,0
1554231300,1.58507,1.58535,1.58506,1.58526,0,0
1554231600,1.58526,1.58541,1.58521,1.58523,0,0
1554231900,1.58523,1.5853,1.58485,1.58488,0,0
1554232200,1.58488,1.58506,1.58478,1.58493,0,0
1554232500,1.58493,1.58507,1.5848,1.58499,0,0
1554232800,1.58499,1.58501,1.58486,1.58495,0,0
1554233100,1.58495,1.58498,1.58478,1.58481,0,0
1554233400,1.58481,1.58485,1.58462,1.58474,0,0
1554233700,1.58474,1.58476,1.58444,1.58444,0,0
1554234000,1.58444,1.58454,1.58441,1.58441,0,0
1554234300,1.58441,1.58455,1.58429,1.58443,0,0
1554234600,1.58443,1.58451,1.58423,1.58436,0,0
1554234900,1.58436,1.58459,1.58428,1.58438,0,0
1554235200,1.58438,1.58438,1.58409,1.58418,0,0
1554235500,1.58418,1.58449,1.5841,1.5844,0,0
1554235800,1.5844,1.58457,1.5844,1.58455,0,0
1554236100,1.58455,1.5846,1.58436,1.58456,0,0
1554236400,1.58456,1.58478,1.58446,1.58461,0,0
1554236700,1.58461,1.58461,1.58417,1.58419,0,0
1554237000,1.58419,1.58435,1.58418,1.58428,0,0
1554237300,1.58428,1.58431,1.58407,1.58415,0,0
1554237600,1.58415,1.58433,1.58415,1.5842,0,0
1554237900,1.5842,1.58428,1.5842,1.58426,0,0
1554238200,1.58426,1.58433,1.58406,1.58422,0,0
1554238500,1.58422,1.58443,1.5842,1.58431,0,0
1554238800,1.58431,1.5844,1.58409,1.58411,0,0
1554239100,1.58411,1.58425,1.58318,1.5832,0,0
1554239400,1.5832,1.58428,1.58318,1.58423,0,0
1554239700,1.58423,1.58427,1.58363,1.58363,0,0
1554240000,1.58363,1.58414,1.58359,1.58372,0,0
1554240300,1.58372,1.58404,1.58369,1.58393,0,0
1554240600,1.58393,1.58449,1.58391,1.58396,0,0
1554240900,1.58396,1.58451,1.58394,1.58449,0,0
1554241200,1.58449,1.58456,1.58437,1.58448,0,0
1554241500,1.58448,1.58492,1.58408,1.58442,0,0
1554241800,1.58442,1.58469,1.58437,1.58457,0,0
1554242100,1.58457,1.58501,1.58455,1.58491,0,0
1554242400,1.58491,1.58503,1.58458,1.58467,0,0
1554242700,1.58467,1.58487,1.58463,1.58483,0,0
1554243000,1.58483,1.58503,1.58483,1.5849,0,0
1554243300,1.5849,1.58537,1.58489,1.58537,0,0
1554243600,1.58537,1.5854,1.5853,1.58538,0,0
1554243900,1.58538,1.58555,1.58538,1.58549,0,0
1554244200,1.58549,1.58581,1.58549,1.58579,0,0
1554244500,1.58579,1.5859,1.58552,1.58579,0,0
1554244800,1.58579,1.58598,1.58572,1.58596,0,0
1554245100,1.58596,1.5861,1.58592,1.58609,0,0
1554245400,1.58609,1.58659,1.58609,1.58639,0,0
1554245700,1.58639,1.58731,1.58636,1.58731,0,0
1554246000,1.58731,1.58732,1.58654,1.58654,0,0
1554246300,1.58654,1.5866,1.58645,1.58656,0,0
1554246600,1.58656,1.58695,1.58648,1.58675,0,0
1554246900,1.58675,1.58717,1.58675,1.58708,0,0
1554247200,1.58708,1.58727,1.58689,1.58702,0,0
1554247500,1.58702,1.58723,1.58695,1.58703,0,0
1554247800,1.58703,1.58714,1.587,1.58705,0,0
1554248100,1.58705,1.58727,1.58695,1.58727,0,0
1554248400,1.58727,1.58765,1.58718,1.58761,0,0
1554248700,1.58761,1.58762,1.58717,1.58723,0,0
1554249000,1.58723,1.58764,1.58713,1.58747,0,0
1554249300,1.58747,1.58751,1.58724,1.58737,0,0
1554249600,1.58737,1.58786,1.58731,1.58776,0,0
1554249900,1.58776,1.58776,1.58724,1.58738,0,0
1554250200,1.58738,1.58746,1.58694,1.58744,0,0
1554250500,1.58744,1.58763,1.58705,1.58705,0,0
1554250800,1.58705,1.58733,1.58702,1.58713,0,0
1554251100,1.58713,1.5873,1.58671,1.58676,0,0
1554251400,1.58676,1.58676,1.58231,1.58231,0,0
1554251700,1.58231,1.58231,1.58112,1.58155,0,0
1554252000,1.58155,1.58163,1.57904,1.58032,0,0
1554252300,1.58032,1.58094,1.57983,1.58094,0,0
