time,open,high,low,close,"Pattern Alert",Volume
1559845800,1.50811,1.50811,1.50567,1.50608,0,0
1559846100,1.50608,1.50708,1.50596,1.50635,0,0
1559846400,1.50635,1.50653,1.50561,1.50618,0,0
1559846700,1.50618,1.50692,1.50612,1.5067,0,0
1559847000,1.5067,1.50696,1.50652,1.50679,0,0
1559847300,1.50679,1.5075,1.50673,1.5071,0,0
1559847600,1.5071,1.50718,1.50673,1.50674,0,0
1559847900,1.50674,1.50697,1.50658,1.50669,0,0
1559848200,1.50669,1.50676,1.50612,1.50663,0,0
1559848500,1.50663,1.50667,1.50644,1.5065,0,0
1559848800,1.5065,1.50697,1.5064,1.50696,0,0
1559849100,1.50696,1.50727,1.50689,1.507,0,0
1559849400,1.507,1.5071,1.50657,1.50658,0,0
1559849700,1.50658,1.50692,1.50658,1.50675,0,0
1559850000,1.50675,1.50723,1.50675,1.50722,0,0
1559850300,1.50722,1.50731,1.50705,1.50709,0,0
1559850600,1.50709,1.50711,1.50672,1.50706,0,0
1559850900,1.50706,1.50735,1.507,1.50719,0,0
1559851200,1.50719,1.50722,1.50678,1.50695,0,0
1559851500,1.50695,1.50701,1.50676,1.50684,0,0
1559851800,1.50684,1.50685,1.50644,1.50644,0,0
1559852100,1.50644,1.50647,1.50629,1.50634,0,0
1559852400,1.50634,1.50668,1.50627,1.50657,0,0
1559852700,1.50657,1.50657,1.50633,1.50652,0,0
1559853000,1.50652,1.5066,1.50644,1.50656,0,0
1559853300,1.50656,1.50713,1.50653,1.50706,0,0
1559853600,1.50706,1.50714,1.50686,1.50699,0,0
1559853900,1.50699,1.50699,1.50668,1.50696,0,0
1559854200,1.50696,1.50697,1.50669,1.50675,0,0
1559854500,1.50675,1.50678,1.50627,1.5063,0,0
1559854800,1.5063,1.50676,1.50628,1.50675,0,0
1559855100,1.50675,1.50694,1.50672,1.50691,0,0
1559855400,1.50691,1.507,1.50665,1.50666,0,0
1559855700,1.50666,1.50699,1.50647,1.50673,0,0
1559856000,1.50673,1.50704,1.5067,1.50704,0,0
1559856300,1.50704,1.50709,1.50649,1.50649,0,0
1559856600,1.50649,1.50696,1.5063,1.50696,0,0
1559856900,1.50696,1.507,1.50663,1.50669,0,0
1559857200,1.50669,1.50673,1.50647,1.50654,0,0
1559857500,1.50654,1.5067,1.50647,1.50665,0,0
1559857800,1.50665,1.5071,1.50657,1.50673,0,0
1559858100,1.50673,1.50705,1.50633,1.50673,0,0
1559858400,1.50673,1.50688,1.50658,1.50666,0,0
1559858700,1.50666,1.50676,1.50665,1.50673,0,0
1559859000,1.50673,1.50676,1.50665,1.5067,0,0
1559859300,1.5067,1.50675,1.50668,1.50668,0,0
1559859600,1.50668,1.50677,1.50667,1.50677,0,0
1559859900,1.50677,1.50681,1.50672,1.50675,0,0
1559860200,1.50675,1.50689,1.50675,1.5068,0,0
1559860500,1.5068,1.50681,1.50667,1.50668,0,0
1559860800,1.50668,1.50671,1.50661,1.50664,0,0
1559861100,1.50664,1.50671,1.50661,1.50668,0,0
1559861400,1.50668,1.50679,1.50667,1.50671,0,0
1559861700,1.50671,1.50671,1.50656,1.50657,0,0
1559862000,1.50657,1.50659,1.50655,1.50657,0,0
1559862300,1.50657,1.50662,1.50641,1.50659,0,0
1559862600,1.50659,1.50663,1.50598,1.50613,0,0
1559862900,1.50613,1.50616,1.50599,1.50599,0,0
1559863200,1.50599,1.50611,1.50593,1.50607,0,0
1559863500,1.50607,1.50614,1.50603,1.50604,0,0
1559863800,1.50604,1.50618,1.50599,1.50608,0,0
1559864100,1.50608,1.50621,1.506,1.506,0,0
1559864400,1.506,1.5062,1.50599,1.50607,0,0
1559864700,1.50607,1.50611,1.50597,1.506,0,0
1559865000,1.506,1.50606,1.50597,1.506,0,0
1559865300,1.506,1.50604,1.50597,1.50599,0,0
1559865600,1.50599,1.506,1.50548,1.50555,0,0
1559865900,1.50555,1.50577,1.50549,1.50556,0,0
1559866200,1.50556,1.50561,1.50538,1.50556,0,0
1559866500,1.50556,1.50577,1.50546,1.5056,0,0
1559866800,1.5056,1.50575,1.50553,1.50575,0,0
1559867100,1.50575,1.50578,1.50551,1.50556,0,0
1559867400,1.50556,1.50558,1.50551,1.50554,0,0
1559867700,1.50554,1.50572,1.50553,1.50571,0,0
1559868000,1.50571,1.50575,1.50562,1.50562,0,0
1559868300,1.50562,1.50564,1.50533,1.50534,0,0
1559868600,1.50534,1.50551,1.50515,1.50545,0,0
1559868900,1.50545,1.50576,1.50545,1.50574,0,0
1559869200,1.50574,1.50574,1.50548,1.50556,0,0
1559869500,1.50556,1.5057,1.50538,1.50566,0,0
1559869800,1.50566,1.50572,1.50548,1.50553,0,0
1559870100,1.50553,1.5056,1.50532,1.50535,0,0
1559870400,1.50535,1.50537,1.50521,1.50521,0,0
1559870700,1.50521,1.50527,1.50514,1.50514,0,0
1559871000,1.50514,1.50534,1.50514,1.50533,0,0
1559871300,1.50533,1.5054,1.50517,1.50526,0,0
1559871600,1.50526,1.50532,1.50518,1.50523,0,0
1559871900,1.50523,1.50527,1.50504,1.50506,0,0
1559872200,1.50506,1.50516,1.50493,1.50496,0,0
1559872500,1.50496,1.50517,1.50493,1.5051,0,0
1559872800,1.5051,1.50512,1.50498,1.505,0,0
1559873100,1.505,1.50501,1.50472,1.50476,0,0
1559873400,1.50476,1.50489,1.50469,1.50483,0,0
1559873700,1.50483,1.50483,1.50468,1.50473,0,0
1559874000,1.50473,1.50481,1.50468,1.50479,0,0
1559874300,1.50479,1.50488,1.50475,1.50484,0,0
1559874600,1.50484,1.50489,1.50469,1.50473,0,0
1559874900,1.50473,1.50487,1.50461,1.50461,0,0
1559875200,1.50461,1.50475,1.50429,1.50432,0,0
1559875500,1.50432,1.50443,1.5042,1.5042,0,0
1559875800,1.5042,1.50424,1.50409,1.5041,0,0
1559876100,1.5041,1.50455,1.50409,1.50452,0,0
1559876400,1.50452,1.50461,1.50439,1.50458,0,0
1559876700,1.50458,1.50475,1.50453,1.50472,0,0
1559877000,1.50472,1.50485,1.50467,1.50473,0,0
1559877300,1.50473,1.5048,1.50468,1.50472,0,0
1559877600,1.50472,1.5049,1.50471,1.50484,0,0
1559877900,1.50484,1.50494,1.50477,1.5048,0,0
1559878200,1.5048,1.50488,1.50474,1.50484,0,0
1559878500,1.50484,1.50486,1.50475,1.50481,0,0
1559878800,1.50481,1.50482,1.50465,1.50472,0,0
1559879100,1.50472,1.50472,1.50463,1.50463,0,0
1559879400,1.50463,1.50468,1.50452,1.50456,0,0
1559879700,1.50456,1.50469,1.50454,1.50469,0,0
1559880000,1.50469,1.50475,1.50465,1.50469,0,0
1559880300,1.50469,1.50472,1.50464,1.50468,0,0
1559880600,1.50468,1.50472,1.50466,1.50466,0,0
1559880900,1.50466,1.50472,1.50451,1.50457,0,0
1559881200,1.50457,1.50462,1.50448,1.50453,0,0
1559881500,1.50453,1.50456,1.50427,1.50433,0,0
1559881800,1.50433,1.50438,1.50424,1.50437,0,0
1559882100,1.50437,1.50444,1.50414,1.50419,0,0
1559882400,1.50419,1.50425,1.50406,1.50421,0,0
1559882700,1.50421,1.50432,1.50418,1.50429,0,0
1559883000,1.50429,1.50429,1.50419,1.50422,0,0
1559883300,1.50422,1.50425,1.5041,1.50417,0,0
1559883600,1.50417,1.50417,1.50405,1.50405,0,0
1559883900,1.50405,1.50417,1.50398,1.50409,0,0
1559884200,1.50409,1.50414,1.50399,1.50401,0,0
1559884500,1.50401,1.50411,1.50398,1.504,0,0
1559884800,1.504,1.50409,1.50373,1.50376,0,0
1559885100,1.50376,1.50382,1.50372,1.50381,0,0
1559885400,1.50381,1.50391,1.50373,1.50384,0,0
1559885700,1.50384,1.50406,1.50384,1.50392,0,0
1559886000,1.50392,1.50403,1.50383,1.50385,0,0
1559886300,1.50385,1.50392,1.50382,1.50388,0,0
1559886600,1.50388,1.50423,1.50388,1.50418,0,0
1559886900,1.50418,1.50424,1.50402,1.5041,0,0
1559887200,1.5041,1.50438,1.50387,1.50435,0,0
1559887500,1.50435,1.50488,1.50435,1.50479,0,0
1559887800,1.50479,1.50482,1.50454,1.50455,0,0
1559888100,1.50455,1.50464,1.50445,1.50461,0,0
1559888400,1.50461,1.50476,1.50451,1.50474,0,0
1559888700,1.50474,1.50474,1.50459,1.50466,0,0
1559889000,1.50466,1.50466,1.50398,1.50458,0,0
1559889300,1.50458,1.50469,1.50443,1.5045,0,0
1559889600,1.5045,1.50453,1.50431,1.50431,0,0
1559889900,1.50431,1.50459,1.50421,1.50449,0,0
1559890200,1.50449,1.50466,1.50445,1.50454,0,0
1559890500,1.50454,1.50475,1.50441,1.50464,0,0
1559890800,1.50464,1.5047,1.50438,1.50464,0,0
1559891100,1.50464,1.50481,1.50432,1.50443,0,0
1559891400,1.50443,1.50458,1.50433,1.50447,0,0
1559891700,1.50447,1.50462,1.50439,1.50457,0,0
1559892000,1.50457,1.50474,1.50436,1.50459,0,0
1559892300,1.50459,1.50481,1.50447,1.50455,0,0
1559892600,1.50455,1.50472,1.50444,1.50445,0,0
1559892900,1.50445,1.50449,1.50394,1.50414,0,0
1559893200,1.50414,1.50437,1.50403,1.50427,0,0
1559893500,1.50427,1.50427,1.50373,1.50392,0,0
1559893800,1.50392,1.50392,1.50335,1.50346,0,0
1559894100,1.50346,1.50349,1.5031,1.50314,0,0
1559894400,1.50314,1.50365,1.50301,1.50336,0,0
1559894700,1.50336,1.50339,1.50315,1.50337,0,0
1559895000,1.50337,1.5034,1.50308,1.5034,0,0
1559895300,1.5034,1.50362,1.5032,1.50358,0,0
1559895600,1.50358,1.50373,1.50343,1.50362,0,0
1559895900,1.50362,1.50386,1.50349,1.50381,0,0
1559896200,1.50381,1.50413,1.50368,1.50413,0,0
1559896500,1.50413,1.5042,1.50395,1.50401,0,0
1559896800,1.50401,1.50456,1.50398,1.50456,1,0
1559897100,1.50456,1.50461,1.5043,1.50452,0,0
1559897400,1.50452,1.50467,1.50431,1.50443,0,0
1559897700,1.50443,1.50486,1.50435,1.50458,0,0
1559898000,1.50458,1.50495,1.50458,1.5047,0,0
1559898300,1.5047,1.50503,1.50463,1.50498,0,0
1559898600,1.50498,1.50516,1.50495,1.50515,0,0
1559898900,1.50515,1.50539,1.50506,1.50511,0,0
1559899200,1.50511,1.50512,1.50497,1.50504,0,0
1559899500,1.50504,1.50507,1.50477,1.50494,0,0
1559899800,1.50494,1.50498,1.50484,1.50484,0,0
1559900100,1.50484,1.5049,1.50461,1.5049,0,0
1559900400,1.5049,1.50496,1.50466,1.50492,0,0
1559900700,1.50492,1.50542,1.50492,1.50528,0,0
1559901000,1.50528,1.5054,1.50502,1.50502,0,0
1559901300,1.50502,1.50515,1.50422,1.50426,0,0
1559901600,1.50426,1.50429,1.50372,1.50423,0,0
1559901900,1.50423,1.50442,1.50414,1.50433,0,0
1559902200,1.50433,1.50466,1.50427,1.50439,0,0
1559902500,1.50439,1.50441,1.50398,1.50434,0,0
1559902800,1.50434,1.5044,1.5039,1.50397,0,0
1559903100,1.50397,1.50401,1.5037,1.50371,0,0
1559903400,1.50371,1.50379,1.50361,1.50367,0,0
1559903700,1.50367,1.50389,1.50366,1.50372,0,0
1559904000,1.50372,1.50401,1.50362,1.50379,0,0
1559904300,1.50379,1.50391,1.50349,1.5039,0,0
1559904600,1.5039,1.5039,1.50366,1.5039,0,0
1559904900,1.5039,1.50391,1.50357,1.50359,0,0
1559905200,1.50359,1.50411,1.50349,1.50397,0,0
1559905500,1.50397,1.5043,1.50396,1.5041,0,0
1559905800,1.5041,1.50415,1.50372,1.50377,0,0
1559906100,1.50377,1.50402,1.50376,1.50391,0,0
1559906400,1.50391,1.50412,1.50388,1.50403,0,0
1559906700,1.50403,1.50441,1.50401,1.50437,0,0
1559907000,1.50437,1.50437,1.50403,1.50419,0,0
1559907300,1.50419,1.50454,1.50418,1.50451,0,0
1559907600,1.50451,1.50479,1.5045,1.50465,0,0
1559907900,1.50465,1.50486,1.5046,1.50479,0,0
1559908200,1.50479,1.50546,1.5047,1.50518,0,0
1559908500,1.50518,1.5053,1.50489,1.50507,0,0
1559908800,1.50507,1.50585,1.50507,1.50576,1,0
1559909100,1.50576,1.50592,1.50535,1.50562,0,0
1559909400,1.50562,1.50621,1.50562,1.5059,0,0
1559909700,1.5059,1.50635,1.50575,1.5062,0,0
1559910000,1.5062,1.50661,1.50619,1.50643,0,0
1559910300,1.50643,1.50671,1.50467,1.50482,0,0
1559910600,1.50482,1.50551,1.50253,1.50393,0,0
1559910900,1.50393,1.50632,1.50393,1.50565,0,0
1559911200,1.50565,1.50641,1.50562,1.50641,0,0
1559911500,1.50641,1.50666,1.50566,1.50608,0,0
1559911800,1.50608,1.50628,1.50433,1.50627,0,0
1559912100,1.50627,1.50638,1.50498,1.5054,0,0
1559912400,1.5054,1.5062,1.50494,1.50617,0,0
1559912700,1.50617,1.50648,1.50571,1.50607,0,0
1559913000,1.50607,1.50672,1.5059,1.50598,0,0
1559913300,1.50598,1.50625,1.50484,1.50485,0,0
1559913600,1.50485,1.50517,1.5044,1.50488,0,0
1559913900,1.50488,1.50521,1.50457,1.50468,0,0
1559914200,1.50468,1.50482,1.50358,1.50385,0,0
1559914500,1.50385,1.50389,1.50336,1.50346,0,0
