time,open,high,low,close,"Pattern Alert",Volume
1573237800,1.09934,1.09934,1.09924,1.09928,0,0
1573238100,1.09928,1.09938,1.09911,1.09916,0,0
1573238400,1.09916,1.09921,1.09905,1.09916,0,0
1573238700,1.09916,1.0992,1.09909,1.09917,0,0
1573239000,1.09917,1.0993,1.09917,1.09928,0,0
1573239300,1.09928,1.0993,1.09918,1.09929,0,0
1573239600,1.09929,1.09932,1.09924,1.09931,0,0
1573239900,1.09931,1.09947,1.0993,1.09941,0,0
1573240200,1.09941,1.09958,1.09938,1.09956,0,0
1573240500,1.09956,1.09957,1.09945,1.09945,0,0
1573240800,1.09945,1.09946,1.09931,1.09932,0,0
1573241100,1.09932,1.0995,1.09932,1.09946,0,0
1573241400,1.09946,1.09957,1.09943,1.09954,0,0
1573241700,1.09954,1.09955,1.09941,1.09943,0,0
1573242000,1.09943,1.09959,1.09943,1.09956,0,0
1573242300,1.09956,1.09967,1.09955,1.09959,0,0
1573242600,1.09959,1.0996,1.09944,1.09952,0,0
1573242900,1.09952,1.09964,1.09944,1.09956,0,0
1573243200,1.09956,1.09959,1.09947,1.09947,0,0
1573243500,1.09947,1.09947,1.09939,1.09939,0,0
1573243800,1.09939,1.09952,1.09939,1.09951,0,0
1573244100,1.09951,1.09958,1.09951,1.09951,0,0
1573244400,1.09951,1.09961,1.09946,1.09956,0,0
1573244700,1.09956,1.09968,1.09952,1.09965,0,0
1573245000,1.09965,1.09968,1.09959,1.09959,0,0
1573245300,1.09959,1.09959,1.09947,1.09954,0,0
1573245600,1.09954,1.09956,1.09947,1.09952,0,0
1573245900,1.09952,1.09962,1.09949,1.09959,0,0
1573246200,1.09959,1.09967,1.09949,1.0995,0,0
1573246500,1.0995,1.09955,1.09946,1.09955,0,0
1573246800,1.09955,1.09957,1.0995,1.0995,0,0
1573247100,1.0995,1.09954,1.09949,1.09952,0,0
1573247400,1.09952,1.09954,1.09946,1.09948,0,0
1573247700,1.09948,1.09948,1.09935,1.09936,0,0
1573248000,1.09936,1.09938,1.09927,1.09928,0,0
1573248300,1.09928,1.09939,1.09928,1.09938,0,0
1573248600,1.09938,1.09944,1.09938,1.09942,0,0
1573248900,1.09942,1.09943,1.09932,1.09933,0,0
1573249200,1.09933,1.09937,1.09928,1.09929,0,0
1573249500,1.09929,1.09929,1.09919,1.09924,0,0
1573249800,1.09924,1.09928,1.0991,1.09911,0,0
1573250100,1.09911,1.09915,1.09869,1.0987,0,0
