time,open,high,low,close,"Pattern Alert",Volume
1551119400,126.169,126.173,126.148,126.151,0,0
1551119700,126.151,126.153,126.123,126.134,0,0
1551120000,126.134,126.166,126.134,126.165,0,0
1551120300,126.165,126.18,126.158,126.179,0,0
1551120600,126.179,126.185,126.159,126.161,0,0
1551120900,126.161,126.19,126.148,126.151,0,0
1551121200,126.151,126.183,126.132,126.178,0,0
1551121500,126.178,126.211,126.178,126.207,0,0
1551121800,126.207,126.211,126.189,126.205,0,0
1551122100,126.205,126.209,126.197,126.2,0,0
1551122400,126.2,126.241,126.199,126.23,0,0
1551122700,126.23,126.254,126.225,126.248,0,0
1551123000,126.248,126.256,126.234,126.236,0,0
1551123300,126.236,126.242,126.23,126.237,0,0
1551123600,126.237,126.244,126.229,126.235,0,0
1551123900,126.235,126.267,126.227,126.266,0,0
1551124200,126.266,126.271,126.245,126.245,0,0
1551124500,126.245,126.297,126.24,126.294,0,0
1551124800,126.294,126.295,126.257,126.257,0,0
1551125100,126.257,126.261,126.241,126.253,0,0
1551125400,126.253,126.271,126.245,126.255,0,0
1551125700,126.255,126.266,126.227,126.228,0,0
1551126000,126.228,126.237,126.215,126.22,0,0
1551126300,126.22,126.221,126.164,126.165,0,0
1551126600,126.165,126.185,126.165,126.181,0,0
1551126900,126.181,126.197,126.173,126.192,0,0
1551127200,126.192,126.201,126.175,126.186,0,0
1551127500,126.186,126.192,126.169,126.172,0,0
1551127800,126.172,126.178,126.153,126.158,0,0
1551128100,126.158,126.162,126.142,126.142,0,0
1551128400,126.142,126.151,126.14,126.147,0,0
1551128700,126.147,126.153,126.146,126.147,0,0
1551129000,126.147,126.156,126.147,126.15,0,0
1551129300,126.15,126.167,126.15,126.159,0,0
1551129600,126.159,126.167,126.14,126.164,0,0
1551129900,126.164,126.177,126.162,126.169,0,0
1551130200,126.169,126.171,126.152,126.154,0,0
1551130500,126.154,126.154,126.139,126.139,0,0
1551130800,126.139,126.152,126.13,126.152,0,0
1551131100,126.152,126.152,126.132,126.132,0,0
1551131400,126.132,126.132,126.119,126.121,0,0
1551131700,126.121,126.129,126.111,126.119,0,0
1551132000,126.119,126.121,126.082,126.098,0,0
1551132300,126.098,126.157,126.09,126.108,0,0
1551132600,126.108,126.126,126.093,126.113,0,0
1551132900,126.113,126.148,126.102,126.122,0,0
1551133200,126.122,126.131,126.106,126.122,0,0
1551133500,126.122,126.129,126.118,126.124,0,0
1551133800,126.124,126.14,126.123,126.135,0,0
1551134100,126.135,126.14,126.117,126.122,0,0
1551134400,126.122,126.136,126.114,126.122,0,0
1551134700,126.122,126.131,126.111,126.119,0,0
1551135000,126.119,126.157,126.116,126.156,0,0
1551135300,126.156,126.168,126.146,126.152,0,0
1551135600,126.152,126.171,126.149,126.171,0,0
1551135900,126.171,126.172,126.143,126.145,0,0
1551136200,126.145,126.155,126.145,126.146,0,0
1551136500,126.146,126.149,126.137,126.137,0,0
1551136800,126.137,126.144,126.129,126.13,0,0
1551137100,126.13,126.138,126.111,126.126,0,0
1551137400,126.126,126.141,126.125,126.141,0,0
1551137700,126.141,126.152,126.138,126.143,0,0
1551138000,126.143,126.156,126.141,126.152,0,0
1551138300,126.152,126.165,126.141,126.147,0,0
1551138600,126.147,126.147,126.133,126.136,0,0
1551138900,126.136,126.203,126.135,126.193,0,0
1551139200,126.193,126.208,126.151,126.201,0,0
1551139500,126.201,126.221,126.158,126.164,0,0
1551139800,126.164,126.182,126.151,126.173,0,0
1551140100,126.173,126.189,126.162,126.186,0,0
1551140400,126.186,126.202,126.175,126.202,0,0
1551140700,126.202,126.212,126.182,126.182,0,0
1551141000,126.182,126.183,126.164,126.176,0,0
1551141300,126.176,126.188,126.169,126.175,0,0
1551141600,126.175,126.181,126.167,126.167,0,0
1551141900,126.167,126.171,126.155,126.163,0,0
1551142200,126.163,126.176,126.092,126.131,0,0
1551142500,126.131,126.143,126.097,126.114,0,0
1551142800,126.114,126.154,126.114,126.149,0,0
1551143100,126.149,126.151,126.102,126.114,0,0
1551143400,126.114,126.129,126.102,126.124,0,0
1551143700,126.124,126.166,126.117,126.118,0,0
1551144000,126.118,126.12,126.048,126.048,0,0
1551144300,126.048,126.052,126.021,126.021,0,0
1551144600,126.021,126.025,125.955,125.966,0,0
1551144900,125.966,126.006,125.965,125.997,0,0
1551145200,125.997,126.005,125.956,125.959,0,0
1551145500,125.959,125.98,125.949,125.958,0,0
1551145800,125.958,126,125.955,125.983,0,0
1551146100,125.983,125.986,125.956,125.962,0,0
1551146400,125.962,125.962,125.901,125.908,0,0
1551146700,125.908,125.92,125.884,125.913,0,0
1551147000,125.913,125.95,125.907,125.949,0,0
1551147300,125.949,125.951,125.91,125.911,0,0
1551147600,125.911,125.925,125.9,125.904,0,0
1551147900,125.904,125.904,125.818,125.856,0,0
1551148200,125.856,125.886,125.854,125.877,0,0
1551148500,125.877,125.885,125.855,125.857,0,0
1551148800,125.857,125.865,125.838,125.838,0,0
1551149100,125.838,125.868,125.814,125.857,0,0
1551149400,125.857,125.901,125.846,125.9,0,0
1551149700,125.9,125.918,125.885,125.885,0,0
1551150000,125.885,125.925,125.871,125.925,0,0
1551150300,125.925,125.947,125.914,125.914,0,0
1551150600,125.914,125.919,125.901,125.917,0,0
1551150900,125.917,125.922,125.903,125.92,0,0
1551151200,125.92,125.941,125.898,125.898,0,0
1551151500,125.898,125.911,125.896,125.904,0,0
1551151800,125.904,125.904,125.888,125.892,0,0
1551152100,125.892,125.892,125.873,125.875,0,0
1551152400,125.875,125.88,125.861,125.866,0,0
1551152700,125.866,125.88,125.863,125.878,0,0
1551153000,125.878,125.884,125.855,125.875,0,0
1551153300,125.875,125.898,125.874,125.883,0,0
1551153600,125.883,125.904,125.883,125.897,0,0
1551153900,125.897,125.91,125.897,125.905,0,0
1551154200,125.905,125.913,125.903,125.911,0,0
1551154500,125.911,125.911,125.898,125.902,0,0
1551154800,125.902,125.917,125.902,125.909,0,0
1551155100,125.909,125.925,125.902,125.923,0,0
1551155400,125.923,125.926,125.917,125.917,0,0
1551155700,125.917,125.923,125.904,125.905,0,0
1551156000,125.905,125.906,125.891,125.893,0,0
1551156300,125.893,125.9,125.89,125.892,0,0
1551156600,125.892,125.903,125.882,125.882,0,0
1551156900,125.882,125.883,125.858,125.863,0,0
1551157200,125.863,125.884,125.845,125.884,0,0
1551157500,125.884,125.896,125.868,125.888,0,0
1551157800,125.888,125.895,125.887,125.891,0,0
1551158100,125.891,125.919,125.89,125.916,0,0
1551158400,125.916,125.922,125.901,125.903,0,0
1551158700,125.903,125.903,125.887,125.891,0,0
1551159000,125.891,125.895,125.868,125.87,0,0
1551159300,125.87,125.871,125.853,125.867,0,0
1551159600,125.867,125.875,125.862,125.866,0,0
1551159900,125.866,125.868,125.856,125.86,0,0
1551160200,125.86,125.867,125.822,125.833,0,0
1551160500,125.833,125.841,125.812,125.84,0,0
1551160800,125.84,125.84,125.805,125.805,0,0
1551161100,125.805,125.834,125.798,125.823,0,0
1551161400,125.823,125.858,125.823,125.837,0,0
1551161700,125.837,125.85,125.826,125.834,0,0
1551162000,125.834,125.854,125.833,125.843,0,0
1551162300,125.843,125.846,125.824,125.831,0,0
1551162600,125.831,125.839,125.817,125.837,0,0
1551162900,125.837,125.878,125.834,125.877,0,0
1551163200,125.877,125.877,125.834,125.846,0,0
1551163500,125.846,125.849,125.816,125.818,0,0
1551163800,125.818,125.827,125.798,125.817,0,0
1551164100,125.817,125.822,125.772,125.774,0,0
1551164400,125.774,125.791,125.735,125.769,0,0
1551164700,125.769,125.779,125.747,125.765,0,0
1551165000,125.765,125.792,125.763,125.77,0,0
1551165300,125.77,125.838,125.77,125.818,0,0
1551165600,125.818,125.838,125.762,125.772,0,0
1551165900,125.772,125.775,125.73,125.749,0,0
1551166200,125.749,125.799,125.748,125.79,0,0
1551166500,125.79,125.807,125.786,125.791,0,0
1551166800,125.791,125.813,125.778,125.799,0,0
1551167100,125.799,125.862,125.799,125.843,0,0
1551167400,125.843,125.85,125.806,125.821,0,0
1551167700,125.821,125.856,125.788,125.788,0,0
1551168000,125.788,125.788,125.729,125.752,0,0
1551168300,125.752,125.777,125.746,125.774,0,0
1551168600,125.774,125.806,125.765,125.79,0,0
1551168900,125.79,125.817,125.788,125.816,0,0
1551169200,125.816,125.835,125.814,125.83,0,0
1551169500,125.83,125.83,125.798,125.82,0,0
1551169800,125.82,125.881,125.82,125.864,0,0
1551170100,125.864,125.883,125.86,125.88,0,0
1551170400,125.88,125.895,125.857,125.871,0,0
1551170700,125.871,125.898,125.868,125.875,0,0
1551171000,125.875,125.881,125.849,125.86,0,0
1551171300,125.86,125.88,125.851,125.851,0,0
1551171600,125.851,125.869,125.85,125.858,0,0
1551171900,125.858,125.883,125.858,125.883,0,0
1551172200,125.883,125.933,125.883,125.907,0,0
1551172500,125.907,125.919,125.894,125.901,0,0
1551172800,125.901,125.933,125.896,125.933,0,0
