time,open,high,low,close,"Pattern Alert",Volume
1547749800,1.13858,1.13866,1.13845,1.13859,0,0
1547750100,1.13859,1.13869,1.13854,1.13864,0,0
1547750400,1.13864,1.13891,1.13856,1.13891,0,0
1547750700,1.13891,1.13893,1.13846,1.13853,0,0
1547751000,1.13853,1.13853,1.13832,1.13847,0,0
1547751300,1.13847,1.13848,1.13805,1.13812,0,0
1547751600,1.13812,1.13815,1.13797,1.13806,0,0
1547751900,1.13806,1.13837,1.13805,1.1382,0,0
1547752200,1.1382,1.13823,1.13805,1.13818,0,0
1547752500,1.13818,1.13853,1.13814,1.1385,0,0
1547752800,1.1385,1.13874,1.1385,1.1387,0,0
1547753100,1.1387,1.13874,1.13837,1.1384,0,0
1547753400,1.1384,1.13845,1.1383,1.13834,0,0
1547753700,1.13834,1.13884,1.1383,1.13877,0,0
1547754000,1.13877,1.13992,1.1387,1.13958,0,0
1547754300,1.13958,1.13999,1.13907,1.13968,0,0
1547754600,1.13968,1.13972,1.13915,1.13925,0,0
1547754900,1.13925,1.13938,1.13883,1.13896,0,0
1547755200,1.13896,1.13914,1.13873,1.13903,0,0
1547755500,1.13903,1.13912,1.13875,1.13876,0,0
1547755800,1.13876,1.13883,1.13853,1.13873,0,0
1547756100,1.13873,1.1389,1.13869,1.1387,0,0
1547756400,1.1387,1.1389,1.13865,1.13874,0,0
1547756700,1.13874,1.13891,1.13863,1.13889,0,0
1547757000,1.13889,1.13921,1.13882,1.13907,0,0
1547757300,1.13907,1.13909,1.13891,1.13902,0,0
1547757600,1.13902,1.13908,1.13896,1.13898,0,0
1547757900,1.13898,1.139,1.13891,1.13893,0,0
1547758200,1.13893,1.1391,1.13892,1.13905,0,0
1547758500,1.13905,1.13916,1.139,1.13912,0,0
1547758800,1.13912,1.13917,1.13898,1.13915,0,0
1547759100,1.13915,1.13915,1.13906,1.13907,0,0
1547759400,1.13907,1.13922,1.13907,1.13908,0,0
1547759700,1.13908,1.13913,1.13899,1.139,0,0
1547760000,1.139,1.13904,1.13895,1.13904,0,0
1547760300,1.13904,1.13904,1.13895,1.13895,0,0
1547760600,1.13895,1.13898,1.13891,1.13896,0,0
1547760900,1.13896,1.13897,1.13888,1.13891,0,0
1547761200,1.13891,1.13891,1.13877,1.13881,0,0
1547761500,1.13881,1.13891,1.13877,1.1389,0,0
1547761800,1.1389,1.1389,1.13883,1.13886,0,0
1547762100,1.13886,1.13886,1.13879,1.13882,0,0
1547762400,1.13882,1.13906,1.13877,1.13892,0,0
1547762700,1.13892,1.13901,1.1388,1.13895,0,0
1547763000,1.13895,1.13911,1.13891,1.139,0,0
1547763300,1.139,1.13908,1.13898,1.13902,0,0
1547763600,1.13902,1.13902,1.1389,1.13896,0,0
1547763900,1.13896,1.13899,1.13857,1.13857,0,0
1547764200,1.13857,1.13873,1.13857,1.13871,0,0
1547764500,1.13871,1.1389,1.13868,1.13887,0,0
1547764800,1.13887,1.13887,1.13864,1.13869,0,0
1547765100,1.13869,1.13879,1.13867,1.13875,0,0
1547765400,1.13875,1.13876,1.13866,1.13869,0,0
1547765700,1.13869,1.13877,1.13867,1.13874,0,0
1547766000,1.13874,1.1389,1.13874,1.13886,0,0
1547766300,1.13886,1.13894,1.13884,1.13893,0,0
1547766600,1.13893,1.13898,1.13892,1.13897,0,0
1547766900,1.13897,1.13902,1.13893,1.13902,0,0
1547767200,1.13902,1.13908,1.13898,1.13905,0,0
1547767500,1.13905,1.13915,1.13903,1.1391,0,0
1547767800,1.1391,1.1391,1.13899,1.13902,0,0
1547768100,1.13902,1.13908,1.13901,1.13907,0,0
1547768400,1.13907,1.13914,1.13906,1.13914,0,0
1547768700,1.13914,1.13923,1.13912,1.13918,0,0
1547769000,1.13918,1.13918,1.13916,1.13917,0,0
1547769300,1.13917,1.1392,1.13914,1.13918,0,0
1547769600,1.13918,1.13921,1.13911,1.13916,0,0
1547769900,1.13916,1.13916,1.13901,1.13901,0,0
1547770200,1.13901,1.13904,1.1389,1.13891,0,0
1547770500,1.13891,1.13904,1.13888,1.13888,0,0
1547770800,1.13888,1.13909,1.13882,1.13894,0,0
1547771100,1.13894,1.139,1.13885,1.13898,0,0
1547771400,1.13898,1.1392,1.13892,1.1392,0,0
1547771700,1.1392,1.1393,1.13917,1.13923,0,0
1547772000,1.13923,1.13929,1.13918,1.13922,0,0
1547772300,1.13922,1.13922,1.13907,1.13907,0,0
1547772600,1.13907,1.1394,1.13903,1.1394,0,0
1547772900,1.1394,1.1395,1.13928,1.13938,0,0
1547773200,1.13938,1.1394,1.13923,1.13935,0,0
1547773500,1.13935,1.13954,1.13921,1.13925,0,0
1547773800,1.13925,1.13945,1.13923,1.13945,0,0
1547774100,1.13945,1.13946,1.13931,1.13932,0,0
1547774400,1.13932,1.13958,1.13932,1.13955,0,0
1547774700,1.13955,1.13989,1.13954,1.13981,0,0
1547775000,1.13981,1.13996,1.13954,1.1398,0,0
1547775300,1.1398,1.1398,1.13958,1.13964,0,0
1547775600,1.13964,1.13965,1.13934,1.13938,0,0
1547775900,1.13938,1.13938,1.13929,1.13935,0,0
1547776200,1.13935,1.13951,1.13929,1.13944,0,0
