time,open,high,low,close,"Pattern Alert",Volume
1572978600,1.86892,1.86915,1.86863,1.86892,0,0
1572978900,1.86892,1.86918,1.86858,1.86858,0,0
1572979200,1.86858,1.86896,1.86845,1.86864,0,0
1572979500,1.86864,1.86871,1.86824,1.86856,0,0
1572979800,1.86856,1.8691,1.86839,1.86894,0,0
1572980100,1.86894,1.86901,1.86858,1.86887,0,0
1572980400,1.86887,1.86946,1.86882,1.86942,0,0
1572980700,1.86942,1.8696,1.86909,1.86911,0,0
1572981000,1.86911,1.86929,1.86901,1.8692,0,0
1572981300,1.8692,1.86962,1.86915,1.86935,0,0
1572981600,1.86935,1.86946,1.86925,1.86933,0,0
1572981900,1.86933,1.86947,1.8692,1.86929,0,0
1572982200,1.86929,1.86931,1.86887,1.86887,0,0
1572982500,1.86887,1.86925,1.86881,1.86914,0,0
1572982800,1.86914,1.86932,1.86908,1.86931,0,0
1572983100,1.86931,1.86962,1.86922,1.86962,0,0
1572983400,1.86962,1.86962,1.8693,1.86931,0,0
1572983700,1.86931,1.86938,1.86894,1.86938,0,0
1572984000,1.86938,1.86939,1.86887,1.86898,0,0
1572984300,1.86898,1.86909,1.86849,1.869,0,0
1572984600,1.869,1.86913,1.86875,1.86893,0,0
1572984900,1.86893,1.86897,1.86871,1.86878,0,0
1572985200,1.86878,1.86888,1.86862,1.86868,0,0
1572985500,1.86868,1.86874,1.86834,1.86841,0,0
1572985800,1.86841,1.86923,1.86837,1.86905,0,0
1572986100,1.86905,1.86932,1.86877,1.86886,0,0
1572986400,1.86886,1.869,1.86881,1.86897,0,0
1572986700,1.86897,1.86915,1.86871,1.86871,0,0
1572987000,1.86871,1.86908,1.86868,1.86877,0,0
1572987300,1.86877,1.86901,1.86857,1.86898,0,0
1572987600,1.86898,1.86898,1.86838,1.86864,0,0
1572987900,1.86864,1.86884,1.8686,1.86864,0,0
1572988200,1.86864,1.86876,1.86846,1.86872,0,0
1572988500,1.86872,1.86892,1.8686,1.86872,0,0
1572988800,1.86872,1.86883,1.86862,1.86866,0,0
1572989100,1.86866,1.86875,1.86847,1.86853,0,0
1572989400,1.86853,1.86867,1.86812,1.86854,0,0
1572989700,1.86854,1.86858,1.86824,1.86828,0,0
1572990000,1.86828,1.86847,1.86817,1.86839,0,0
1572990300,1.86839,1.86902,1.86831,1.86883,0,0
1572990600,1.86883,1.86909,1.86883,1.86897,0,0
