time,open,high,low,close,"Pattern Alert",Volume
1566162000,1.61214,1.61318,1.61214,1.6128,0,0
1566162300,1.6128,1.61285,1.61235,1.61235,0,0
1566162600,1.61235,1.61246,1.61183,1.61206,0,0
1566162900,1.61206,1.61233,1.61181,1.61184,0,0
1566163200,1.61184,1.61196,1.61171,1.61189,0,0
1566163500,1.61189,1.61194,1.61171,1.61181,0,0
1566163800,1.61181,1.61247,1.61135,1.61247,0,0
1566164100,1.61247,1.61247,1.61183,1.61202,0,0
1566164400,1.61202,1.61202,1.6117,1.6118,0,0
1566164700,1.6118,1.61257,1.6118,1.612,0,0
1566165000,1.612,1.61226,1.612,1.61222,0,0
1566165300,1.61222,1.61222,1.61177,1.61203,0,0
1566165600,1.61203,1.61203,1.61108,1.61131,0,0
1566165900,1.61131,1.61207,1.61129,1.61196,0,0
1566166200,1.61196,1.61202,1.61162,1.61194,0,0
1566166500,1.61194,1.61213,1.61158,1.61159,0,0
1566166800,1.61159,1.61201,1.61159,1.6119,0,0
1566167100,1.6119,1.61195,1.61167,1.61176,0,0
1566167400,1.61176,1.61213,1.61174,1.6121,0,0
1566167700,1.6121,1.61295,1.61208,1.61289,0,0
1566168000,1.61289,1.61345,1.61289,1.61326,0,0
1566168300,1.61326,1.61349,1.61305,1.61307,0,0
1566168600,1.61307,1.61325,1.61304,1.61309,0,0
1566168900,1.61309,1.61309,1.61275,1.61284,0,0
1566169200,1.61284,1.61284,1.61246,1.61267,0,0
1566169500,1.61267,1.61286,1.6126,1.6128,0,0
1566169800,1.6128,1.61281,1.61252,1.61254,0,0
1566170100,1.61254,1.6127,1.61247,1.61263,0,0
1566170400,1.61263,1.61279,1.61261,1.61279,0,0
1566170700,1.61279,1.61281,1.61262,1.61273,0,0
1566171000,1.61273,1.61281,1.61256,1.61272,0,0
1566171300,1.61272,1.61278,1.61253,1.61268,0,0
1566171600,1.61268,1.61288,1.61263,1.61278,0,0
1566171900,1.61278,1.61331,1.61277,1.61311,0,0
1566172200,1.61311,1.61311,1.61284,1.61294,0,0
1566172500,1.61294,1.613,1.61282,1.61294,0,0
1566172800,1.61294,1.61325,1.61255,1.61272,0,0
1566173100,1.61272,1.61297,1.61212,1.61226,0,0
1566173400,1.61226,1.61227,1.61201,1.61204,0,0
1566173700,1.61204,1.61225,1.61204,1.61211,0,0
1566174000,1.61211,1.61244,1.61203,1.61224,0,0
1566174300,1.61224,1.61238,1.61194,1.61196,0,0
1566174600,1.61196,1.612,1.61178,1.6118,0,0
1566174900,1.6118,1.61188,1.61156,1.61162,0,0
1566175200,1.61162,1.61168,1.61148,1.6115,0,0
1566175500,1.6115,1.61216,1.6115,1.61194,0,0
1566175800,1.61194,1.61194,1.61136,1.61136,0,0
1566176100,1.61136,1.61151,1.61122,1.61142,0,0
1566176400,1.61142,1.61144,1.61114,1.61114,0,0
1566176700,1.61114,1.61174,1.61101,1.6117,0,0
1566177000,1.6117,1.61175,1.61148,1.6115,0,0
1566177300,1.6115,1.61157,1.61125,1.61127,0,0
1566177600,1.61127,1.61186,1.61127,1.61186,0,0
1566177900,1.61186,1.61189,1.61146,1.61155,0,0
1566178200,1.61155,1.61192,1.61149,1.61172,0,0
1566178500,1.61172,1.61201,1.61167,1.61194,0,0
1566178800,1.61194,1.61216,1.61183,1.61201,0,0
1566179100,1.61201,1.61224,1.61188,1.61189,0,0
1566179400,1.61189,1.61205,1.61167,1.61204,0,0
1566179700,1.61204,1.61205,1.61173,1.61182,0,0
1566180000,1.61182,1.61217,1.61176,1.61198,0,0
1566180300,1.61198,1.61209,1.61173,1.61182,0,0
1566180600,1.61182,1.61226,1.61177,1.61226,0,0
1566180900,1.61226,1.61272,1.61223,1.61259,0,0
1566181200,1.61259,1.61289,1.61234,1.61234,0,0
1566181500,1.61234,1.61244,1.61219,1.61232,0,0
1566181800,1.61232,1.61244,1.61217,1.61235,0,0
1566182100,1.61235,1.61237,1.61208,1.61211,0,0
1566182400,1.61211,1.61231,1.61205,1.61228,0,0
1566182700,1.61228,1.6127,1.61223,1.61251,0,0
1566183000,1.61251,1.61263,1.61234,1.61245,0,0
1566183300,1.61245,1.61254,1.61222,1.61222,0,0
1566183600,1.61222,1.61222,1.61203,1.61219,0,0
1566183900,1.61219,1.61267,1.61213,1.61267,0,0
1566184200,1.61267,1.61308,1.61267,1.61274,0,0
1566184500,1.61274,1.6128,1.61265,1.61276,0,0
1566184800,1.61276,1.61296,1.61274,1.61295,0,0
1566185100,1.61295,1.61299,1.61284,1.61296,0,0
1566185400,1.61296,1.61303,1.61294,1.61297,0,0
1566185700,1.61297,1.61335,1.61297,1.61327,0,0
1566186000,1.61327,1.61341,1.61314,1.61341,0,0
1566186300,1.61341,1.6135,1.61321,1.61325,0,0
1566186600,1.61325,1.61363,1.61323,1.61355,0,0
1566186900,1.61355,1.6137,1.61347,1.61359,0,0
1566187200,1.61359,1.61359,1.61323,1.61328,0,0
1566187500,1.61328,1.61336,1.61305,1.61311,0,0
1566187800,1.61311,1.61312,1.61291,1.61294,0,0
1566188100,1.61294,1.61326,1.6129,1.61324,0,0
1566188400,1.61324,1.61355,1.61321,1.61351,0,0
1566188700,1.61351,1.6136,1.61337,1.6136,0,0
1566189000,1.6136,1.61362,1.61339,1.61349,0,0
1566189300,1.61349,1.61376,1.61346,1.61367,0,0
1566189600,1.61367,1.61374,1.61358,1.61374,0,0
1566189900,1.61374,1.61374,1.61359,1.61366,0,0
1566190200,1.61366,1.61369,1.61349,1.61351,0,0
1566190500,1.61351,1.61356,1.61341,1.61343,0,0
1566190800,1.61343,1.61377,1.61338,1.61343,0,0
1566191100,1.61343,1.61356,1.61317,1.61323,0,0
1566191400,1.61323,1.61357,1.61318,1.61337,0,0
1566191700,1.61337,1.61358,1.61332,1.6134,0,0
1566192000,1.6134,1.61373,1.61338,1.61364,0,0
1566192300,1.61364,1.61386,1.61362,1.61366,0,0
1566192600,1.61366,1.6137,1.61338,1.6134,0,0
1566192900,1.6134,1.6135,1.61332,1.61335,0,0
1566193200,1.61335,1.61357,1.61334,1.61353,0,0
1566193500,1.61353,1.61394,1.61345,1.61394,0,0
1566193800,1.61394,1.61454,1.61394,1.61428,0,0
1566194100,1.61428,1.61446,1.6142,1.61429,0,0
1566194400,1.61429,1.61506,1.61406,1.615,0,0
1566194700,1.615,1.615,1.61448,1.61463,0,0
1566195000,1.61463,1.61476,1.61436,1.61471,0,0
1566195300,1.61471,1.61477,1.61451,1.61467,0,0
1566195600,1.61467,1.61543,1.61466,1.61489,0,0
1566195900,1.61489,1.61524,1.61465,1.61485,0,0
1566196200,1.61485,1.61509,1.6142,1.61422,0,0
1566196500,1.61422,1.61455,1.61387,1.61396,0,0
1566196800,1.61396,1.61426,1.61386,1.61412,0,0
1566197100,1.61412,1.61431,1.61407,1.61428,0,0
1566197400,1.61428,1.61448,1.61404,1.61438,0,0
1566197700,1.61438,1.6145,1.6136,1.61362,0,0
1566198000,1.61362,1.61362,1.61166,1.61173,0,0
1566198300,1.61173,1.61174,1.61075,1.6108,0,0
1566198600,1.6108,1.6108,1.60935,1.60935,0,0
1566198900,1.60935,1.61034,1.60919,1.60983,0,0
1566199200,1.60983,1.61035,1.60977,1.61009,0,0
1566199500,1.61009,1.61051,1.60945,1.61009,0,0
1566199800,1.61009,1.61013,1.60892,1.60924,0,0
1566200100,1.60924,1.60966,1.60877,1.60881,0,0
1566200400,1.60881,1.60913,1.60863,1.60882,0,0
1566200700,1.60882,1.60911,1.60862,1.60911,0,0
1566201000,1.60911,1.60974,1.60899,1.60953,0,0
1566201300,1.60953,1.61026,1.60949,1.6101,0,0
1566201600,1.6101,1.61026,1.6098,1.60989,0,0
1566201900,1.60989,1.60989,1.60919,1.60955,0,0
1566202200,1.60955,1.60964,1.60885,1.60893,0,0
1566202500,1.60893,1.60904,1.60861,1.60903,0,0
