time,open,high,low,close,"Pattern Alert",Volume
1553797800,1.29949,1.29964,1.29898,1.29899,0,0
1553798100,1.29899,1.29899,1.29855,1.29885,0,0
1553798400,1.29885,1.299195,1.29864,1.29879,0,0
1553798700,1.29879,1.29968,1.299095,1.29947,0,0
1553799000,1.29947,1.29981,1.29925,1.29981,0,0
1553799300,1.29981,1.3002,1.2996,1.29973,0,0
1553799600,1.29973,1.29976,1.29888,1.29889,0,0
1553799900,1.29889,1.29925,1.29868,1.29923,0,0
1553800200,1.29923,1.29942,1.29914,1.29918,0,0
1553800500,1.29918,1.30004,1.29916,1.29983,0,0
1553800800,1.29983,1.29984,1.29921,1.29925,0,0
1553801100,1.29925,1.30004,1.29925,1.30004,0,0
1553801400,1.30004,1.30007,1.29982,1.29998,0,0
1553801700,1.29998,1.30017,1.29997,1.30006,0,0
1553802000,1.30006,1.30036,1.29997,1.30017,0,0
1553802300,1.30017,1.30053,1.30017,1.30049,0,0
1553802600,1.30049,1.30058,1.3003,1.30039,0,0
1553802900,1.30039,1.30054,1.30027,1.30049,0,0
1553803200,1.30049,1.30049,1.30003,1.30004,0,0
1553803500,1.30004,1.30071,1.29991,1.30027,0,0
1553803800,1.30027,1.30042,1.29995,1.29997,0,0
1553804100,1.29997,1.3,1.29931,1.29949,0,0
1553804400,1.29949,1.30019,1.29949,1.30011,0,0
1553804700,1.30011,1.30026,1.29938,1.29946,0,0
1553805000,1.29946,1.29967,1.29942,1.29952,0,0
1553805300,1.29952,1.29954,1.29909,1.29917,0,0
1553805600,1.29917,1.29917,1.29875,1.29906,0,0
1553805900,1.29906,1.29919,1.29892,1.29918,0,0
1553806200,1.29918,1.29918,1.29844,1.29875,0,0
1553806500,1.29875,1.29876,1.29796,1.29803,0,0
1553806800,1.29803,1.29803,1.29698,1.29737,0,0
1553807100,1.29737,1.2978,1.29726,1.29778,0,0
1553807400,1.29778,1.29778,1.29732,1.29748,0,0
1553807700,1.29748,1.29772,1.29737,1.29749,0,0
1553808000,1.29749,1.29868,1.29747,1.29776,0,0
1553808300,1.29776,1.29794,1.29755,1.29763,0,0
1553808600,1.29763,1.29814,1.29749,1.29754,0,0
1553808900,1.29754,1.29777,1.29753,1.29774,0,0
1553809200,1.29774,1.29807,1.29761,1.29807,0,0
1553809500,1.29807,1.29808,1.2976,1.29793,0,0
1553809800,1.29793,1.29793,1.29729,1.29743,0,0
1553810100,1.29743,1.29763,1.29731,1.29744,0,0
1553810400,1.29744,1.29787,1.29744,1.29778,0,0
1553810700,1.29778,1.29788,1.29776,1.29778,0,0
1553811000,1.29778,1.29794,1.29777,1.29787,0,0
1553811300,1.29787,1.29798,1.29774,1.29795,0,0
1553811600,1.29795,1.29802,1.2979,1.29794,0,0
1553811900,1.29794,1.29804,1.29792,1.29796,0,0
1553812200,1.29796,1.29807,1.29789,1.29807,0,0
1553812500,1.29807,1.29824,1.29794,1.29824,0,0
1553812800,1.29824,1.29857,1.29817,1.29817,0,0
1553813100,1.29817,1.29848,1.29791,1.29794,0,0
1553813400,1.29794,1.29849,1.29786,1.2984,0,0
1553813700,1.2984,1.29864,1.29838,1.29861,0,0
1553814000,1.29861,1.29866,1.29853,1.29862,0,0
1553814300,1.29862,1.2987,1.29858,1.29862,0,0
1553814600,1.29862,1.29866,1.29855,1.29865,0,0
1553814900,1.29865,1.29875,1.29846,1.2987,0,0
1553815200,1.2987,1.29898,1.2987,1.2989,0,0
1553815500,1.2989,1.29896,1.29885,1.29885,0,0
1553815800,1.29885,1.29885,1.29864,1.29877,0,0
1553816100,1.29877,1.29879,1.29849,1.29854,0,0
1553816400,1.29854,1.29861,1.29843,1.29846,0,0
1553816700,1.29846,1.29851,1.29833,1.29836,0,0
1553817000,1.29836,1.29856,1.29835,1.29855,0,0
1553817300,1.29855,1.29862,1.29851,1.2986,0,0
1553817600,1.2986,1.29873,1.29851,1.2987,0,0
1553817900,1.2987,1.29896,1.2987,1.29892,0,0
1553818200,1.29892,1.29946,1.29868,1.29931,0,0
1553818500,1.29931,1.29939,1.29914,1.29928,0,0
1553818800,1.29928,1.29933,1.29917,1.29923,0,0
1553819100,1.29923,1.29923,1.29907,1.2991,0,0
1553819400,1.2991,1.29928,1.29907,1.2992,0,0
1553819700,1.2992,1.29965,1.29914,1.29964,0,0
1553820000,1.29964,1.29989,1.29963,1.29987,0,0
1553820300,1.29987,1.30003,1.29975,1.29997,0,0
1553820600,1.29997,1.3009,1.29997,1.30031,0,0
1553820900,1.30031,1.30031,1.29906,1.29948,0,0
1553821200,1.29948,1.29956,1.29915,1.29917,0,0
1553821500,1.29917,1.29946,1.2991,1.29928,0,0
1553821800,1.29928,1.29968,1.29928,1.2995,0,0
1553822100,1.2995,1.29953,1.29932,1.29953,0,0
1553822400,1.29953,1.29961,1.29951,1.29959,0,0
1553822700,1.29959,1.30031,1.29959,1.30031,0,0
1553823000,1.30031,1.30041,1.30002,1.30013,0,0
1553823300,1.30013,1.30033,1.30001,1.30027,0,0
1553823600,1.30027,1.30028,1.29997,1.30007,0,0
1553823900,1.30007,1.30014,1.29987,1.30002,0,0
1553824200,1.30002,1.30062,1.30002,1.30062,0,0
1553824500,1.30062,1.30102,1.30061,1.30071,0,0
1553824800,1.30071,1.30071,1.30035,1.30061,0,0
1553825100,1.30061,1.3007,1.30029,1.30047,0,0
1553825400,1.30047,1.30067,1.3004,1.3004,0,0
1553825700,1.3004,1.30057,1.30036,1.30053,0,0
1553826000,1.30053,1.30057,1.30036,1.3004,0,0
1553826300,1.3004,1.30065,1.30039,1.30063,0,0
1553826600,1.30063,1.30081,1.30042,1.30067,0,0
1553826900,1.30067,1.30069,1.30052,1.30055,0,0
1553827200,1.30055,1.30058,1.30043,1.30054,0,0
1553827500,1.30054,1.30099,1.30049,1.30099,0,0
1553827800,1.30099,1.30115,1.30098,1.30114,0,0
1553828100,1.30114,1.30119,1.301,1.30106,0,0
1553828400,1.30106,1.30107,1.30095,1.30098,0,0
1553828700,1.30098,1.30118,1.30096,1.30112,0,0
1553829000,1.30112,1.30124,1.30108,1.30116,0,0
1553829300,1.30116,1.30118,1.30087,1.30089,0,0
1553829600,1.30089,1.30106,1.30077,1.30103,0,0
1553829900,1.30103,1.30131,1.30102,1.3013,0,0
1553830200,1.3013,1.30139,1.30122,1.30131,0,0
1553830500,1.30131,1.30131,1.30114,1.30115,0,0
1553830800,1.30115,1.30115,1.30094,1.301,0,0
1553831100,1.301,1.30112,1.30078,1.30112,0,0
1553831400,1.30112,1.30116,1.30094,1.30095,0,0
1553831700,1.30095,1.30096,1.3008,1.30083,0,0
1553832000,1.30083,1.3015,1.30078,1.30149,0,0
1553832300,1.30149,1.30149,1.30123,1.30126,0,0
1553832600,1.30126,1.3013,1.30105,1.30114,0,0
1553832900,1.30114,1.30124,1.3011,1.30112,0,0
1553833200,1.30112,1.30148,1.30105,1.30137,0,0
1553833500,1.30137,1.30146,1.30131,1.30138,0,0
1553833800,1.30138,1.30141,1.30128,1.30131,0,0
1553834100,1.30131,1.30133,1.30109,1.30112,0,0
1553834400,1.30112,1.30137,1.30109,1.30135,0,0
1553834700,1.30135,1.30148,1.30128,1.30135,0,0
1553835000,1.30135,1.30152,1.30124,1.3015,0,0
1553835300,1.3015,1.30173,1.30131,1.30166,0,0
1553835600,1.30166,1.30185,1.30162,1.30162,0,0
1553835900,1.30162,1.30164,1.30133,1.30137,0,0
1553836200,1.30137,1.30178,1.30136,1.30178,0,0
1553836500,1.30178,1.30184,1.30143,1.30183,0,0
1553836800,1.30183,1.30191,1.30178,1.30187,0,0
1553837100,1.30187,1.3019,1.30159,1.3018,0,0
1553837400,1.3018,1.30204,1.30175,1.302,0,0
1553837700,1.302,1.30204,1.30189,1.30195,0,0
1553838000,1.30195,1.30197,1.30166,1.30167,0,0
1553838300,1.30167,1.30173,1.30153,1.30171,0,0
1553838600,1.30171,1.30171,1.30152,1.30155,0,0
1553838900,1.30155,1.30159,1.30141,1.30155,0,0
1553839200,1.30155,1.3016,1.30113,1.30125,0,0
1553839500,1.30125,1.3017,1.30109,1.30163,0,0
1553839800,1.30163,1.30171,1.30158,1.30167,0,0
1553840100,1.30167,1.30173,1.30156,1.30173,0,0
1553840400,1.30173,1.30216,1.30165,1.302,0,0
1553840700,1.302,1.30207,1.30183,1.30184,0,0
1553841000,1.30184,1.30203,1.30178,1.3019,0,0
1553841300,1.3019,1.30247,1.3019,1.30246,0,0
1553841600,1.30246,1.30295,1.30244,1.30264,0,0
1553841900,1.30264,1.30273,1.30251,1.3027,0,0
1553842200,1.3027,1.30285,1.30215,1.30224,0,0
1553842500,1.30224,1.30224,1.30173,1.30185,0,0
1553842800,1.30185,1.30214,1.30173,1.30198,0,0
1553843100,1.30198,1.30198,1.30155,1.30155,0,0
1553843400,1.30155,1.30167,1.30135,1.30144,0,0
1553843700,1.30144,1.30252,1.30142,1.30241,0,0
1553844000,1.30241,1.30262,1.30215,1.30262,0,0
1553844300,1.30262,1.30285,1.30243,1.30278,0,0
1553844600,1.30278,1.30294,1.30212,1.30214,0,0
1553844900,1.30214,1.30257,1.30183,1.30183,0,0
1553845200,1.30183,1.30183,1.30092,1.30094,0,0
1553845500,1.30094,1.30108,1.30023,1.30083,0,0
1553845800,1.30083,1.30089,1.30039,1.30071,0,0
1553846100,1.30071,1.30073,1.29708,1.29708,0,0
1553846400,1.29708,1.29757,1.29571,1.29627,0,0
1553846700,1.29627,1.29722,1.29597,1.29711,0,0
1553847000,1.29711,1.29726,1.29645,1.29685,0,0
1553847300,1.29685,1.29699,1.29631,1.29663,0,0
1553847600,1.29663,1.29695,1.29638,1.29664,0,0
1553847900,1.29664,1.29674,1.29606,1.29635,0,0
1553848200,1.29635,1.29639,1.29592,1.29603,0,0
1553848500,1.29603,1.29843,1.2959,1.29843,0,0
1553848800,1.29843,1.29885,1.29731,1.29766,0,0
1553849100,1.29766,1.2977,1.29703,1.29711,0,0
1553849400,1.29711,1.2973,1.29566,1.29589,0,0
1553849700,1.29589,1.29603,1.2954,1.29575,0,0
1553850000,1.29575,1.2966,1.29497,1.29601,0,0
1553850300,1.29601,1.29698,1.29596,1.29636,0,0
1553850600,1.29636,1.29701,1.29631,1.29668,0,0
1553850900,1.29668,1.29668,1.29636,1.29654,0,0
1553851200,1.29654,1.29698,1.29624,1.2963,0,0
1553851500,1.2963,1.29647,1.29589,1.29629,0,0
1553851800,1.29629,1.29744,1.29606,1.29619,0,0
1553852100,1.29619,1.29653,1.29466,1.29506,0,0
1553852400,1.29506,1.29726,1.29506,1.29695,0,0
1553852700,1.29695,1.2975,1.29689,1.29695,0,0
1553853000,1.29695,1.29744,1.29695,1.29718,0,0
1553853300,1.29718,1.29725,1.29599,1.29704,0,0
1553853600,1.29704,1.29892,1.29704,1.29806,0,0
1553853900,1.29806,1.29807,1.29714,1.2977,0,0
1553854200,1.2977,1.29844,1.29721,1.29814,0,0
1553854500,1.29814,1.29835,1.29745,1.29745,0,0
1553854800,1.29745,1.29772,1.29701,1.29753,0,0
1553855100,1.29753,1.29791,1.29726,1.29766,0,0
1553855400,1.29766,1.29779,1.29657,1.29737,0,0
1553855700,1.29737,1.29792,1.29698,1.29746,0,0
1553856000,1.29746,1.29841,1.29745,1.29773,0,0
1553856300,1.29773,1.30136,1.29756,1.30003,0,0
1553856600,1.30003,1.30352,1.29943,1.30257,0,0
1553856900,1.30257,1.30343,1.30179,1.30199,0,0
1553857200,1.30199,1.30575,1.30185,1.30526,1,0
1553857500,1.30526,1.30729,1.30476,1.30484,0,0
1553857800,1.30484,1.3055,1.30402,1.30406,0,0
1553858100,1.30406,1.30573,1.30395,1.3056,0,0
1553858400,1.3056,1.30622,1.30454,1.30526,0,0
1553858700,1.30526,1.30597,1.30304,1.30322,0,0
1553859000,1.30322,1.30451,1.30319,1.30345,0,0
1553859300,1.30345,1.30433,1.3034,1.30408,0,0
1553859600,1.30408,1.30409,1.30329,1.30389,0,0
1553859900,1.30389,1.30492,1.30389,1.30442,0,0
1553860200,1.30442,1.30453,1.30323,1.30453,0,0
1553860500,1.30453,1.30514,1.30406,1.30514,0,0
1553860800,1.30514,1.30524,1.3046,1.30502,0,0
1553861100,1.30502,1.30503,1.3035,1.30392,0,0
1553861400,1.30392,1.30436,1.30385,1.30401,0,0
1553861700,1.30401,1.3048,1.30362,1.30413,0,0
1553862000,1.30413,1.30433,1.30358,1.30375,0,0
1553862300,1.30375,1.30386,1.30314,1.30344,0,0
1553862600,1.30344,1.30399,1.30322,1.30389,0,0
1553862900,1.30389,1.30457,1.30375,1.30408,0,0
1553863200,1.30408,1.30511,1.30405,1.30494,0,0
1553863500,1.30494,1.30593,1.30494,1.30512,0,0
1553863800,1.30512,1.30515,1.30409,1.3042,0,0
1553864100,1.3042,1.30426,1.30323,1.30362,0,0
1553864400,1.30362,1.30387,1.30302,1.30326,0,0
1553864700,1.30326,1.30326,1.30241,1.30294,0,0
1553865000,1.30294,1.30311,1.30252,1.30261,0,0
1553865300,1.30261,1.30271,1.30228,1.30228,0,0
1553865600,1.30228,1.30234,1.29989,1.30038,0,0
1553865900,1.30038,1.30169,1.30021,1.30156,0,0
1553866200,1.30156,1.30178,1.30093,1.30104,-1,0
1553866500,1.30104,1.30104,1.30014,1.30065,0,0
1553866800,1.30065,1.30097,1.30012,1.30016,0,0
1553867100,1.30016,1.30067,1.29988,1.30036,0,0
1553867400,1.30036,1.30099,1.29994,1.29994,0,0
1553867700,1.29994,1.30092,1.29994,1.30092,0,0
1553868000,1.30092,1.30106,1.29942,1.29994,0,0
1553868300,1.29994,1.30019,1.29922,1.29936,0,0
1553868600,1.29936,1.29997,1.29923,1.2997,0,0
1553868900,1.2997,1.30011,1.29911,1.29994,0,0
1553869200,1.29994,1.30005,1.29929,1.29956,0,0
1553869500,1.29956,1.29975,1.29864,1.29874,0,0
1553869800,1.29874,1.29945,1.29712,1.2973,0,0
1553870100,1.2973,1.29753,1.29572,1.2965,0,0
1553870400,1.2965,1.29757,1.29218,1.29274,0,0
1553870700,1.29274,1.29468,1.29216,1.29375,0,0
1553871000,1.29375,1.29417,1.29302,1.29348,-1,0
1553871300,1.29348,1.29474,1.29323,1.2945,0,0
1553871600,1.2945,1.29608,1.29398,1.29492,0,0
1553871900,1.29492,1.29577,1.29411,1.2956,0,0
1553872200,1.2956,1.29638,1.2955,1.2962,0,0
