time,open,high,low,close,"Pattern Alert",Volume
1548873000,143.042,143.076,143.035,143.073,0,0
1548873300,143.073,143.093,143.068,143.074,0,0
1548873600,143.074,143.086,143.029,143.029,0,0
1548873900,143.029,143.058,143.019,143.03,0,0
1548874200,143.03,143.077,143.026,143.03,0,0
1548874500,143.03,143.062,143.028,143.039,0,0
1548874800,143.039,143.374,143.034,143.277,0,0
1548875100,143.277,143.303,143.191,143.199,0,0
1548875400,143.199,143.264,143.102,143.16,0,0
1548875700,143.16,143.19,143.046,143.083,0,0
1548876000,143.083,143.147,143.071,143.078,0,0
1548876300,143.078,143.125,143.045,143.069,0,0
1548876600,143.069,143.108,142.959,142.993,0,0
1548876900,142.993,143.073,142.964,143.02,0,0
1548877200,143.02,143.033,142.944,143.017,0,0
1548877500,143.017,143.11,142.981,143.054,0,0
1548877800,143.054,143.074,142.915,142.921,0,0
1548878100,142.921,142.99,142.854,142.868,0,0
1548878400,142.868,142.911,142.812,142.847,0,0
1548878700,142.847,142.882,142.789,142.861,0,0
1548879000,142.861,142.861,142.796,142.825,0,0
1548879300,142.825,142.871,142.823,142.865,0,0
1548879600,142.865,142.884,142.816,142.854,0,0
1548879900,142.854,142.928,142.848,142.919,0,0
1548880200,142.919,142.919,142.811,142.823,0,0
1548880500,142.823,142.862,142.768,142.773,0,0
1548880800,142.773,142.806,142.762,142.796,0,0
1548881100,142.796,142.828,142.763,142.775,0,0
1548881400,142.775,142.798,142.757,142.766,0,0
1548881700,142.766,142.774,142.728,142.745,0,0
1548882000,142.745,142.824,142.74,142.824,0,0
1548882300,142.824,142.891,142.823,142.873,0,0
1548882600,142.873,142.928,142.871,142.918,0,0
1548882900,142.918,142.921,142.885,142.918,0,0
1548883200,142.918,142.957,142.918,142.934,0,0
1548883500,142.934,142.958,142.919,142.954,0,0
1548883800,142.954,142.954,142.908,142.931,0,0
1548884100,142.931,142.938,142.919,142.926,0,0
1548884400,142.926,142.963,142.926,142.945,0,0
1548884700,142.945,142.95,142.925,142.94,0,0
1548885000,142.94,142.949,142.926,142.944,0,0
1548885300,142.944,143.004,142.94,142.994,0,0
1548885600,142.994,142.995,142.872,142.896,0,0
1548885900,142.896,142.897,142.801,142.828,0,0
1548886200,142.828,142.907,142.809,142.88,0,0
1548886500,142.88,142.907,142.868,142.868,0,0
1548886800,142.868,143.008,142.862,142.999,0,0
1548887100,142.999,143.039,142.983,143.006,0,0
1548887400,143.006,143.048,143.004,143.025,0,0
1548887700,143.025,143.026,142.995,143.02,0,0
1548888000,143.02,143.02,142.998,143.003,0,0
1548888300,143.003,143.015,142.996,143.013,0,0
1548888600,143.013,143.019,143.004,143.016,0,0
1548888900,143.016,143.028,142.983,143.005,0,0
1548889200,143.005,143.018,142.987,143.016,0,0
1548889500,143.016,143.022,142.966,142.986,0,0
1548889800,142.986,142.99,142.967,142.968,0,0
1548890100,142.968,142.988,142.947,142.951,0,0
1548890400,142.951,142.961,142.922,142.959,0,0
1548890700,142.959,142.984,142.956,142.98,0,0
1548891000,142.98,142.998,142.971,142.975,0,0
1548891300,142.975,142.98,142.93,142.93,0,0
1548891600,142.93,142.979,142.927,142.961,0,0
1548891900,142.961,142.963,142.941,142.947,0,0
1548892200,142.947,142.98,142.938,142.962,0,0
1548892500,142.962,142.965,142.928,142.928,0,0
1548892800,142.928,142.951,142.896,142.922,0,0
1548893100,142.922,142.94,142.863,142.863,0,0
1548893400,142.863,142.906,142.832,142.858,0,0
1548893700,142.858,142.872,142.833,142.848,0,0
1548894000,142.848,142.96,142.848,142.91,0,0
1548894300,142.91,142.959,142.91,142.917,0,0
1548894600,142.917,142.945,142.847,142.866,0,0
1548894900,142.866,142.911,142.851,142.887,0,0
1548895200,142.887,142.89,142.801,142.81,0,0
1548895500,142.81,142.854,142.808,142.835,0,0
1548895800,142.835,142.837,142.721,142.777,0,0
1548896100,142.777,142.828,142.76,142.796,0,0
1548896400,142.796,142.913,142.79,142.879,0,0
1548896700,142.879,142.91,142.874,142.876,0,0
1548897000,142.876,142.88,142.832,142.832,0,0
1548897300,142.832,142.867,142.807,142.852,0,0
1548897600,142.852,142.872,142.841,142.843,0,0
1548897900,142.843,142.871,142.827,142.834,0,0
1548898200,142.834,142.859,142.793,142.859,0,0
1548898500,142.859,142.887,142.846,142.864,0,0
1548898800,142.864,142.876,142.836,142.855,0,0
1548899100,142.855,142.865,142.803,142.803,0,0
1548899400,142.803,142.851,142.8,142.837,0,0
1548899700,142.837,142.853,142.808,142.847,0,0
1548900000,142.847,142.866,142.841,142.841,0,0
1548900300,142.841,142.842,142.801,142.82,0,0
1548900600,142.82,142.846,142.793,142.805,0,0
1548900900,142.805,142.808,142.783,142.801,0,0
1548901200,142.801,142.824,142.794,142.822,0,0
1548901500,142.822,142.833,142.82,142.82,0,0
1548901800,142.82,142.838,142.802,142.802,0,0
1548902100,142.802,142.82,142.778,142.82,0,0
1548902400,142.82,142.85,142.819,142.823,0,0
1548902700,142.823,142.856,142.823,142.836,0,0
1548903000,142.836,142.899,142.832,142.881,0,0
1548903300,142.881,142.928,142.873,142.916,0,0
1548903600,142.916,142.928,142.89,142.916,0,0
1548903900,142.916,142.922,142.88,142.893,0,0
1548904200,142.893,142.908,142.85,142.856,0,0
1548904500,142.856,142.893,142.854,142.885,0,0
1548904800,142.885,142.95,142.884,142.95,0,0
1548905100,142.95,142.962,142.907,142.932,0,0
1548905400,142.932,142.967,142.918,142.95,0,0
1548905700,142.95,142.993,142.95,142.993,0,0
1548906000,142.993,143.053,142.992,143.042,0,0
1548906300,143.042,143.042,142.976,142.978,0,0
1548906600,142.978,142.979,142.958,142.966,0,0
1548906900,142.966,142.977,142.947,142.976,0,0
1548907200,142.976,142.983,142.94,142.954,0,0
1548907500,142.954,142.962,142.936,142.938,0,0
1548907800,142.938,142.955,142.934,142.946,0,0
1548908100,142.946,142.949,142.898,142.9,0,0
1548908400,142.9,142.9,142.874,142.88,0,0
1548908700,142.88,142.889,142.866,142.869,0,0
1548909000,142.869,142.882,142.853,142.882,0,0
1548909300,142.882,142.889,142.817,142.83,0,0
1548909600,142.83,142.836,142.818,142.826,0,0
1548909900,142.826,142.835,142.817,142.831,0,0
1548910200,142.831,142.845,142.819,142.829,0,0
1548910500,142.829,142.834,142.821,142.826,0,0
1548910800,142.826,142.827,142.802,142.813,0,0
1548911100,142.813,142.838,142.793,142.803,0,0
1548911400,142.803,142.814,142.794,142.806,0,0
1548911700,142.806,142.826,142.788,142.824,0,0
1548912000,142.824,142.839,142.818,142.818,0,0
1548912300,142.818,142.82,142.732,142.738,0,0
1548912600,142.738,142.749,142.722,142.741,0,0
1548912900,142.741,142.769,142.741,142.75,0,0
1548913200,142.75,142.763,142.732,142.761,0,0
1548913500,142.761,142.761,142.705,142.726,0,0
1548913800,142.726,142.735,142.696,142.696,0,0
1548914100,142.696,142.733,142.687,142.733,0,0
1548914400,142.733,142.747,142.709,142.728,0,0
1548914700,142.728,142.728,142.693,142.704,0,0
1548915000,142.704,142.728,142.691,142.728,0,0
1548915300,142.728,142.766,142.726,142.766,0,0
1548915600,142.766,142.795,142.756,142.758,0,0
1548915900,142.758,142.791,142.756,142.763,0,0
1548916200,142.763,142.782,142.756,142.774,0,0
1548916500,142.774,142.777,142.73,142.754,0,0
1548916800,142.754,142.769,142.743,142.759,0,0
1548917100,142.759,142.79,142.748,142.785,0,0
1548917400,142.785,142.794,142.761,142.793,0,0
1548917700,142.793,142.827,142.774,142.824,0,0
1548918000,142.824,142.869,142.805,142.828,0,0
1548918300,142.828,142.877,142.828,142.851,0,0
1548918600,142.851,142.87,142.802,142.835,0,0
1548918900,142.835,142.866,142.819,142.837,0,0
1548919200,142.837,142.88,142.829,142.877,0,0
1548919500,142.877,143.007,142.87,142.994,0,0
1548919800,142.994,142.995,142.894,142.9,0,0
1548920100,142.9,142.914,142.856,142.874,0,0
1548920400,142.874,142.911,142.849,142.911,0,0
1548920700,142.911,142.923,142.872,142.904,0,0
1548921000,142.904,142.918,142.86,142.86,0,0
1548921300,142.86,142.865,142.813,142.813,0,0
1548921600,142.813,142.853,142.728,142.801,0,0
1548921900,142.801,142.813,142.733,142.779,0,0
1548922200,142.779,142.793,142.748,142.772,0,0
1548922500,142.772,142.772,142.68,142.735,0,0
1548922800,142.735,142.782,142.721,142.759,0,0
1548923100,142.759,142.921,142.759,142.857,0,0
1548923400,142.857,142.916,142.828,142.89,0,0
1548923700,142.89,142.898,142.834,142.878,0,0
1548924000,142.878,142.878,142.769,142.821,0,0
1548924300,142.821,142.823,142.767,142.774,0,0
1548924600,142.774,142.774,142.738,142.76,0,0
1548924900,142.76,142.768,142.66,142.712,0,0
1548925200,142.712,142.712,142.579,142.687,0,0
1548925500,142.687,142.689,142.639,142.676,0,0
1548925800,142.676,142.712,142.648,142.687,0,0
1548926100,142.687,142.696,142.572,142.588,0,0
1548926400,142.588,142.665,142.566,142.659,0,0
1548926700,142.659,142.707,142.641,142.655,0,0
1548927000,142.655,142.655,142.483,142.496,0,0
1548927300,142.496,142.549,142.487,142.508,0,0
1548927600,142.508,142.521,142.473,142.493,0,0
1548927900,142.493,142.502,142.365,142.368,0,0
1548928200,142.368,142.388,142.341,142.349,0,0
1548928500,142.349,142.402,142.349,142.392,0,0
1548928800,142.392,142.404,142.292,142.379,0,0
1548929100,142.379,142.463,142.379,142.443,0,0
1548929400,142.443,142.508,142.437,142.476,0,0
1548929700,142.476,142.589,142.475,142.573,0,0
1548930000,142.573,142.594,142.531,142.574,0,0
1548930300,142.574,142.625,142.556,142.566,0,0
1548930600,142.566,142.656,142.566,142.656,0,0
1548930900,142.656,142.711,142.632,142.708,0,0
1548931200,142.708,142.71,142.652,142.654,0,0
1548931500,142.654,142.675,142.623,142.652,0,0
1548931800,142.652,142.713,142.647,142.678,0,0
1548932100,142.678,142.7,142.612,142.634,0,0
1548932400,142.634,142.66,142.565,142.58,0,0
1548932700,142.58,142.592,142.547,142.547,0,0
1548933000,142.547,142.591,142.521,142.573,0,0
1548933300,142.573,142.604,142.545,142.582,0,0
1548933600,142.582,142.583,142.534,142.543,0,0
1548933900,142.543,142.65,142.529,142.644,0,0
1548934200,142.644,142.718,142.644,142.681,0,0
1548934500,142.681,142.702,142.652,142.683,0,0
1548934800,142.683,142.702,142.627,142.631,0,0
1548935100,142.631,142.679,142.629,142.672,0,0
1548935400,142.672,142.7,142.65,142.665,0,0
1548935700,142.665,142.678,142.619,142.637,0,0
1548936000,142.637,142.71,142.619,142.71,0,0
1548936300,142.71,142.726,142.612,142.634,0,0
1548936600,142.634,142.678,142.634,142.678,0,0
1548936900,142.678,142.724,142.668,142.697,0,0
1548937200,142.697,142.791,142.694,142.749,0,0
1548937500,142.749,142.753,142.672,142.684,0,0
1548937800,142.684,142.695,142.652,142.66,0,0
1548938100,142.66,142.667,142.592,142.622,0,0
1548938400,142.622,142.637,142.579,142.613,0,0
1548938700,142.613,142.619,142.503,142.559,0,0
1548939000,142.559,142.573,142.51,142.512,0,0
1548939300,142.512,142.61,142.509,142.606,0,0
1548939600,142.606,142.639,142.583,142.602,0,0
1548939900,142.602,142.617,142.534,142.539,0,0
1548940200,142.539,142.552,142.5,142.504,0,0
1548940500,142.504,142.558,142.479,142.537,0,0
1548940800,142.537,142.54,142.432,142.437,0,0
1548941100,142.437,142.448,142.4,142.448,0,0
1548941400,142.448,142.448,142.39,142.391,0,0
1548941700,142.391,142.468,142.39,142.402,0,0
1548942000,142.402,142.402,142.34,142.371,0,0
1548942300,142.371,142.398,142.306,142.306,0,0
1548942600,142.306,142.374,142.291,142.368,0,0
1548942900,142.368,142.424,142.338,142.407,0,0
1548943200,142.407,142.407,142.334,142.37,0,0
1548943500,142.37,142.392,142.283,142.29,0,0
1548943800,142.29,142.379,142.274,142.333,0,0
1548944100,142.333,142.338,142.267,142.302,0,0
1548944400,142.302,142.356,142.302,142.315,0,0
1548944700,142.315,142.33,142.246,142.258,0,0
1548945000,142.258,142.313,142.248,142.264,0,0
1548945300,142.264,142.314,142.24,142.311,0,0
1548945600,142.311,142.311,142.261,142.261,0,0
1548945900,142.261,142.306,142.242,142.294,0,0
1548946200,142.294,142.468,142.291,142.432,0,0
1548946500,142.432,142.448,142.365,142.414,0,0
1548946800,142.414,142.546,142.4,142.485,0,0
1548947100,142.485,142.573,142.476,142.519,0,0
1548947400,142.519,142.571,142.513,142.541,0,0
1548947700,142.541,142.547,142.49,142.543,0,0
1548948000,142.543,142.599,142.512,142.597,0,0
1548948300,142.597,142.637,142.557,142.634,0,0
1548948600,142.634,142.699,142.634,142.653,0,0
1548948900,142.653,142.723,142.626,142.723,0,0
1548949200,142.723,142.765,142.686,142.762,0,0
1548949500,142.762,142.848,142.736,142.828,0,0
1548949800,142.828,142.918,142.796,142.909,0,0
1548950100,142.909,143.198,142.909,143.133,0,0
1548950400,143.133,143.185,143.012,143.078,0,0
1548950700,143.078,143.083,143.015,143.052,0,0
1548951000,143.052,143.149,143.042,143.073,0,0
1548951300,143.073,143.129,143.019,143.019,0,0
1548951600,143.019,143.03,142.952,142.967,0,0
1548951900,142.967,142.991,142.952,142.977,0,0
1548952200,142.977,143.027,142.951,143.021,0,0
1548952500,143.021,143.024,142.984,142.996,0,0
1548952800,142.996,143.03,142.973,143.021,0,0
1548953100,143.021,143.021,142.975,143.003,0,0
1548953400,143.003,143.015,142.972,142.985,0,0
1548953700,142.985,143.02,142.938,142.944,0,0
1548954000,142.944,142.954,142.906,142.914,0,0
1548954300,142.914,142.97,142.892,142.909,0,0
1548954600,142.909,142.929,142.891,142.921,0,0
1548954900,142.921,142.927,142.88,142.914,0,0
1548955200,142.914,142.936,142.886,142.918,0,0
1548955500,142.918,142.924,142.862,142.894,0,0
1548955800,142.894,142.926,142.838,142.925,0,0
1548956100,142.925,142.978,142.916,142.94,0,0
1548956400,142.94,142.981,142.892,142.892,0,0
