time,open,high,low,close,"Pattern Alert",Volume
1576521000,1.33299,1.33345,1.33299,1.33335,0,0
1576521300,1.33335,1.33374,1.33331,1.33369,0,0
1576521600,1.33369,1.33392,1.33368,1.33392,0,0
1576521900,1.33392,1.33402,1.3337,1.33392,0,0
1576522200,1.33392,1.33431,1.3339,1.33404,0,0
1576522500,1.33404,1.33458,1.33392,1.33443,0,0
1576522800,1.33443,1.33468,1.33442,1.33444,0,0
1576523100,1.33444,1.33472,1.33443,1.33443,0,0
1576523400,1.33443,1.33452,1.33419,1.33419,0,0
1576523700,1.33419,1.33419,1.33369,1.33372,0,0
1576524000,1.33372,1.33394,1.33359,1.33393,0,0
1576524300,1.33393,1.33417,1.33392,1.33417,0,0
1576524600,1.33417,1.33439,1.33414,1.33436,0,0
1576524900,1.33436,1.33461,1.33433,1.33452,0,0
1576525200,1.33452,1.33462,1.33442,1.33462,0,0
1576525500,1.33462,1.33486,1.33451,1.33467,0,0
1576525800,1.33467,1.33473,1.33454,1.33461,0,0
1576526100,1.33461,1.33502,1.33461,1.33502,0,0
1576526400,1.33502,1.33535,1.33501,1.33515,0,0
1576526700,1.33515,1.33522,1.33492,1.33501,0,0
1576527000,1.33501,1.33515,1.33479,1.3349,0,0
1576527300,1.3349,1.3349,1.33462,1.33462,0,0
1576527600,1.33462,1.33531,1.3346,1.33523,0,0
1576527900,1.33523,1.33523,1.33473,1.33479,0,0
1576528200,1.33479,1.33497,1.33476,1.3348,0,0
1576528500,1.3348,1.3349,1.33475,1.33486,0,0
1576528800,1.33486,1.33493,1.33472,1.33472,0,0
1576529100,1.33472,1.33475,1.33464,1.33472,0,0
1576529400,1.33472,1.33475,1.33446,1.33453,0,0
1576529700,1.33453,1.33467,1.33442,1.33458,0,0
1576530000,1.33458,1.33459,1.33411,1.33418,0,0
1576530300,1.33418,1.33418,1.33407,1.33411,0,0
1576530600,1.33411,1.33418,1.33401,1.33402,0,0
1576530900,1.33402,1.33402,1.33399,1.334,0,0
1576531200,1.334,1.33402,1.3338,1.33389,0,0
1576531500,1.33389,1.33389,1.33377,1.33383,0,0
1576531800,1.33383,1.33389,1.33354,1.33368,0,0
1576532100,1.33368,1.3337,1.33326,1.33329,0,0
1576532400,1.33329,1.3334,1.33329,1.33338,0,0
1576532700,1.33338,1.3334,1.33314,1.33336,0,0
1576533000,1.33336,1.33338,1.33302,1.3331,0,0
1576533300,1.3331,1.33351,1.33306,1.33307,0,0
1576533600,1.33307,1.33329,1.33264,1.33325,0,0
1576533900,1.33325,1.33351,1.33319,1.33324,0,0
1576534200,1.33324,1.33325,1.33275,1.3329,0,0
1576534500,1.3329,1.33303,1.3329,1.33298,0,0
1576534800,1.33298,1.3331,1.33295,1.33307,0,0
1576535100,1.33307,1.33309,1.33296,1.33299,0,0
1576535400,1.33299,1.33311,1.33296,1.33305,0,0
1576535700,1.33305,1.33307,1.3326,1.33265,0,0
1576536000,1.33265,1.33265,1.33216,1.33236,0,0
1576536300,1.33236,1.33241,1.33049,1.33067,0,0
1576536600,1.33067,1.33106,1.33029,1.3304,0,0
1576536900,1.3304,1.33045,1.3266,1.32856,0,0
1576537200,1.32856,1.32913,1.32799,1.32819,0,0
1576537500,1.32819,1.32885,1.32819,1.32881,0,0
1576537800,1.32881,1.32883,1.32819,1.3282,0,0
1576538100,1.3282,1.3282,1.32747,1.32777,0,0
1576538400,1.32777,1.32797,1.32751,1.32753,0,0
1576538700,1.32753,1.32759,1.32644,1.3265,0,0
1576539000,1.3265,1.3268,1.32357,1.32427,0,0
1576539300,1.32427,1.3258,1.3242,1.32564,0,0
1576539600,1.32564,1.32569,1.32498,1.32506,0,0
1576539900,1.32506,1.32541,1.32458,1.32538,0,0
