time,open,high,low,close,"Pattern Alert",Volume
1563906600,1.31352,1.31368,1.31345,1.31368,0,0
1563906900,1.31368,1.31368,1.31334,1.31346,0,0
1563907200,1.31346,1.31352,1.31324,1.31328,0,0
1563907500,1.31328,1.31333,1.31316,1.31328,0,0
1563907800,1.31328,1.3134,1.31326,1.31334,0,0
1563908100,1.31334,1.31357,1.31334,1.31349,0,0
1563908400,1.31349,1.31386,1.31349,1.31386,0,0
1563908700,1.31386,1.31394,1.31367,1.31375,0,0
1563909000,1.31375,1.31386,1.31366,1.31378,0,0
1563909300,1.31378,1.31384,1.31372,1.31378,0,0
1563909600,1.31378,1.3141,1.31376,1.3141,0,0
1563909900,1.3141,1.31423,1.31406,1.31407,0,0
1563910200,1.31407,1.31413,1.3139,1.31409,0,0
1563910500,1.31409,1.31423,1.31404,1.31411,0,0
1563910800,1.31411,1.31422,1.314,1.31405,0,0
1563911100,1.31405,1.31432,1.31395,1.31431,0,0
1563911400,1.31431,1.31441,1.3142,1.3144,0,0
1563911700,1.3144,1.31456,1.31424,1.31424,0,0
1563912000,1.31424,1.31459,1.31422,1.31457,0,0
1563912300,1.31457,1.31457,1.31436,1.31436,0,0
1563912600,1.31436,1.31444,1.31432,1.31434,0,0
1563912900,1.31434,1.31439,1.31416,1.31416,0,0
1563913200,1.31416,1.31435,1.31416,1.31434,0,0
1563913500,1.31434,1.31439,1.31429,1.31431,0,0
1563913800,1.31431,1.31431,1.31373,1.31373,0,0
1563914100,1.31373,1.31375,1.31346,1.31375,0,0
1563914400,1.31375,1.31393,1.31375,1.31389,0,0
1563914700,1.31389,1.31389,1.31367,1.31381,0,0
1563915000,1.31381,1.31385,1.31367,1.31376,0,0
1563915300,1.31376,1.31376,1.31324,1.31324,0,0
1563915600,1.31324,1.3134,1.31302,1.31319,0,0
1563915900,1.31319,1.31362,1.31318,1.3133,0,0
1563916200,1.3133,1.31369,1.31316,1.31347,0,0
1563916500,1.31347,1.31374,1.31339,1.31341,0,0
1563916800,1.31341,1.31341,1.31339,1.31341,0,0
1563917100,1.31341,1.31343,1.31322,1.31325,0,0
1563917400,1.31325,1.31328,1.31316,1.31321,0,0
1563917700,1.31321,1.31323,1.31317,1.31317,0,0
1563918000,1.31317,1.31366,1.31317,1.31356,0,0
1563918300,1.31356,1.31375,1.31343,1.31364,0,0
1563918600,1.31364,1.31364,1.31324,1.31344,0,0
1563918900,1.31344,1.31353,1.31321,1.31321,0,0
1563919200,1.31321,1.31323,1.31312,1.31323,0,0
1563919500,1.31323,1.31325,1.31317,1.31318,0,0
1563919800,1.31318,1.31327,1.31318,1.31324,0,0
1563920100,1.31324,1.31344,1.31323,1.31338,0,0
1563920400,1.31338,1.31346,1.31336,1.31336,0,0
1563920700,1.31336,1.3134,1.31327,1.31327,0,0
1563921000,1.31327,1.31331,1.31318,1.31328,0,0
1563921300,1.31328,1.31332,1.31328,1.31332,0,0
1563921600,1.31332,1.31339,1.3133,1.31338,0,0
1563921900,1.31338,1.31338,1.3133,1.31336,0,0
1563922200,1.31336,1.31339,1.31335,1.31338,0,0
1563922500,1.31338,1.31347,1.31335,1.31347,0,0
1563922800,1.31347,1.31384,1.31347,1.31381,0,0
1563923100,1.31381,1.31388,1.31367,1.31387,0,0
1563923400,1.31387,1.31387,1.31376,1.31384,0,0
1563923700,1.31384,1.31384,1.31372,1.31382,0,0
1563924000,1.31382,1.31383,1.31379,1.31382,0,0
1563924300,1.31382,1.31385,1.31381,1.31382,0,0
1563924600,1.31382,1.31384,1.31371,1.31374,0,0
1563924900,1.31374,1.31385,1.31373,1.31383,0,0
1563925200,1.31383,1.31392,1.31382,1.31391,0,0
1563925500,1.31391,1.31395,1.31388,1.31388,0,0
1563925800,1.31388,1.31401,1.31387,1.31391,0,0
1563926100,1.31391,1.31399,1.31385,1.31398,0,0
1563926400,1.31398,1.3143,1.31397,1.31414,0,0
1563926700,1.31414,1.31415,1.31376,1.31376,0,0
1563927000,1.31376,1.31405,1.31376,1.31392,0,0
1563927300,1.31392,1.314,1.31372,1.31392,0,0
1563927600,1.31392,1.31395,1.31387,1.3139,0,0
1563927900,1.3139,1.31391,1.31382,1.31383,0,0
1563928200,1.31383,1.31383,1.31361,1.31382,0,0
1563928500,1.31382,1.31389,1.31372,1.31378,0,0
1563928800,1.31378,1.31378,1.31342,1.31351,0,0
1563929100,1.31351,1.31356,1.31346,1.31354,0,0
1563929400,1.31354,1.31354,1.31312,1.31352,0,0
1563929700,1.31352,1.31384,1.31352,1.31382,0,0
1563930000,1.31382,1.31391,1.31372,1.31386,0,0
1563930300,1.31386,1.31392,1.31383,1.31387,0,0
1563930600,1.31387,1.31387,1.31349,1.31354,0,0
1563930900,1.31354,1.31369,1.31353,1.31365,0,0
1563931200,1.31365,1.31365,1.31342,1.31344,0,0
1563931500,1.31344,1.31352,1.3134,1.31348,0,0
1563931800,1.31348,1.3135,1.31332,1.31348,0,0
1563932100,1.31348,1.31359,1.31339,1.31344,0,0
1563932400,1.31344,1.31371,1.31342,1.31367,0,0
1563932700,1.31367,1.31367,1.31343,1.31357,0,0
1563933000,1.31357,1.31361,1.31348,1.31349,0,0
1563933300,1.31349,1.31355,1.31348,1.31351,0,0
1563933600,1.31351,1.31359,1.3134,1.31346,0,0
1563933900,1.31346,1.31351,1.31343,1.3135,0,0
1563934200,1.3135,1.31353,1.3134,1.3134,0,0
1563934500,1.3134,1.31361,1.3134,1.31359,0,0
1563934800,1.31359,1.31363,1.31354,1.31354,0,0
1563935100,1.31354,1.31361,1.3135,1.31352,0,0
1563935400,1.31352,1.31366,1.31352,1.31364,0,0
1563935700,1.31364,1.31369,1.31361,1.31362,0,0
1563936000,1.31362,1.31362,1.31354,1.31358,0,0
1563936300,1.31358,1.31361,1.31334,1.31344,0,0
1563936600,1.31344,1.31353,1.31344,1.31348,0,0
1563936900,1.31348,1.31348,1.3134,1.31342,0,0
1563937200,1.31342,1.31348,1.31312,1.31332,0,0
1563937500,1.31332,1.31341,1.31318,1.31318,0,0
1563937800,1.31318,1.31322,1.31312,1.3132,0,0
1563938100,1.3132,1.31321,1.31305,1.31311,0,0
1563938400,1.31311,1.31322,1.31308,1.31318,0,0
1563938700,1.31318,1.31328,1.31318,1.31324,0,0
1563939000,1.31324,1.31339,1.3132,1.31333,0,0
1563939300,1.31333,1.31344,1.31331,1.31344,0,0
1563939600,1.31344,1.31344,1.31339,1.31342,0,0
1563939900,1.31342,1.31346,1.31339,1.31343,0,0
1563940200,1.31343,1.31355,1.31343,1.31355,0,0
1563940500,1.31355,1.31358,1.31354,1.31355,0,0
1563940800,1.31355,1.31366,1.31354,1.31366,0,0
1563941100,1.31366,1.31366,1.31356,1.31358,0,0
1563941400,1.31358,1.31362,1.31357,1.3136,0,0
1563941700,1.3136,1.31361,1.3135,1.31359,0,0
1563942000,1.31359,1.31376,1.31358,1.31374,0,0
1563942300,1.31374,1.31376,1.31369,1.31374,0,0
1563942600,1.31374,1.31375,1.31366,1.31373,0,0
1563942900,1.31373,1.31377,1.31373,1.31375,0,0
1563943200,1.31375,1.31377,1.31373,1.31377,0,0
1563943500,1.31377,1.3138,1.31372,1.31374,0,0
1563943800,1.31374,1.3138,1.31374,1.31377,0,0
1563944100,1.31377,1.31377,1.31373,1.31373,0,0
1563944400,1.31373,1.31382,1.31372,1.31382,0,0
1563944700,1.31382,1.31395,1.31381,1.3139,0,0
1563945000,1.3139,1.31393,1.3139,1.31391,0,0
1563945300,1.31391,1.314,1.31387,1.31399,0,0
1563945600,1.31399,1.31407,1.31398,1.31401,0,0
1563945900,1.31401,1.31405,1.314,1.31405,0,0
1563946200,1.31405,1.31408,1.31399,1.314,0,0
1563946500,1.314,1.31401,1.31378,1.31378,0,0
1563946800,1.31378,1.31383,1.31369,1.31369,0,0
1563947100,1.31369,1.31369,1.31347,1.31349,0,0
1563947400,1.31349,1.31351,1.31346,1.3135,0,0
1563947700,1.3135,1.3135,1.31346,1.31347,0,0
1563948000,1.31347,1.31366,1.31345,1.31356,0,0
1563948300,1.31356,1.31365,1.31344,1.31344,0,0
1563948600,1.31344,1.3135,1.31325,1.31328,0,0
1563948900,1.31328,1.31342,1.31328,1.31334,0,0
1563949200,1.31334,1.31342,1.31329,1.31341,0,0
1563949500,1.31341,1.31357,1.31339,1.31348,0,0
1563949800,1.31348,1.31349,1.31346,1.31347,0,0
1563950100,1.31347,1.31358,1.31346,1.31356,0,0
1563950400,1.31356,1.3136,1.3134,1.3134,0,0
1563950700,1.3134,1.3134,1.31307,1.31314,0,0
1563951000,1.31314,1.31322,1.31303,1.31303,0,0
1563951300,1.31303,1.31316,1.31296,1.31299,0,0
1563951600,1.31299,1.31322,1.31296,1.31322,0,0
1563951900,1.31322,1.31343,1.31321,1.3133,0,0
1563952200,1.3133,1.31343,1.31325,1.3134,0,0
1563952500,1.3134,1.31398,1.3134,1.31358,0,0
1563952800,1.31358,1.31366,1.31343,1.31358,0,0
1563953100,1.31358,1.31364,1.31354,1.31354,0,0
1563953400,1.31354,1.31382,1.31341,1.31355,0,0
1563953700,1.31355,1.31357,1.31328,1.31345,0,0
1563954000,1.31345,1.31371,1.3134,1.31364,0,0
1563954300,1.31364,1.31372,1.3136,1.31361,0,0
1563954600,1.31361,1.31369,1.31353,1.31367,0,0
1563954900,1.31367,1.31368,1.31354,1.31356,0,0
1563955200,1.31356,1.31371,1.31356,1.31363,0,0
1563955500,1.31363,1.31391,1.31361,1.31391,0,0
1563955800,1.31391,1.31398,1.31382,1.31385,0,0
1563956100,1.31385,1.31401,1.31384,1.31396,0,0
1563956400,1.31396,1.31402,1.31373,1.31377,0,0
1563956700,1.31377,1.31385,1.31374,1.31375,0,0
1563957000,1.31375,1.314,1.31373,1.314,0,0
1563957300,1.314,1.31426,1.31389,1.31425,0,0
1563957600,1.31425,1.31436,1.3142,1.31435,0,0
1563957900,1.31435,1.31443,1.31433,1.31442,0,0
1563958200,1.31442,1.31457,1.31434,1.31451,0,0
1563958500,1.31451,1.31458,1.31437,1.31451,0,0
1563958800,1.31451,1.31466,1.31451,1.31461,0,0
1563959100,1.31461,1.31461,1.31422,1.31435,0,0
1563959400,1.31435,1.31436,1.31424,1.31425,0,0
1563959700,1.31425,1.31433,1.31424,1.31425,0,0
1563960000,1.31425,1.31431,1.31415,1.31416,0,0
1563960300,1.31416,1.31426,1.31416,1.31424,0,0
1563960600,1.31424,1.31441,1.31424,1.31441,0,0
1563960900,1.31441,1.31442,1.31416,1.31416,0,0
1563961200,1.31416,1.3142,1.31408,1.31408,0,0
1563961500,1.31408,1.3142,1.31408,1.31408,0,0
1563961800,1.31408,1.3142,1.31408,1.3141,0,0
1563962100,1.3141,1.31416,1.31401,1.31401,0,0
1563962400,1.31401,1.31401,1.3139,1.314,0,0
1563962700,1.314,1.314,1.3139,1.31397,0,0
1563963000,1.31397,1.31399,1.31383,1.31391,0,0
1563963300,1.31391,1.31404,1.31384,1.31386,0,0
1563963600,1.31386,1.31394,1.31373,1.31391,0,0
1563963900,1.31391,1.31425,1.31391,1.31416,0,0
1563964200,1.31416,1.31419,1.31408,1.31409,0,0
1563964500,1.31409,1.31409,1.31399,1.314,0,0
1563964800,1.314,1.31402,1.31391,1.31392,0,0
1563965100,1.31392,1.31393,1.3138,1.31383,0,0
1563965400,1.31383,1.31383,1.31312,1.31313,0,0
1563965700,1.31313,1.31321,1.3126,1.3126,0,0
