time,open,high,low,close,"Pattern Alert",Volume
1551983400,1.01095,1.01095,1.01065,1.0107,0,0
1551983700,1.0107,1.0109,1.01064,1.01082,0,0
1551984000,1.01082,1.01093,1.01077,1.0109,0,0
1551984300,1.0109,1.0109,1.01057,1.01057,0,0
1551984600,1.01057,1.01061,1.01054,1.01061,0,0
1551984900,1.01061,1.0107,1.01054,1.01068,0,0
1551985200,1.01068,1.01079,1.01063,1.01075,0,0
1551985500,1.01075,1.01088,1.01064,1.01072,0,0
1551985800,1.01072,1.011,1.01072,1.01087,0,0
1551986100,1.01087,1.01089,1.01079,1.01085,0,0
1551986400,1.01085,1.011,1.0108,1.01092,0,0
1551986700,1.01092,1.01092,1.01077,1.01086,0,0
1551987000,1.01086,1.01144,1.01078,1.01138,0,0
1551987300,1.01138,1.01184,1.01117,1.01183,0,0
1551987600,1.01183,1.01195,1.0116,1.01169,0,0
1551987900,1.01169,1.01226,1.01154,1.01207,0,0
1551988200,1.01207,1.01237,1.01207,1.01224,0,0
1551988500,1.01224,1.01231,1.01205,1.01209,0,0
1551988800,1.01209,1.01214,1.01196,1.01207,0,0
1551989100,1.01207,1.01218,1.01206,1.01214,0,0
1551989400,1.01214,1.01215,1.01184,1.01189,0,0
1551989700,1.01189,1.01195,1.01182,1.01183,0,0
1551990000,1.01183,1.01188,1.01171,1.0118,0,0
1551990300,1.0118,1.01186,1.01178,1.01182,0,0
1551990600,1.01182,1.01184,1.01177,1.01177,0,0
1551990900,1.01177,1.01199,1.01176,1.0119,0,0
1551991200,1.0119,1.01193,1.01184,1.01192,0,0
1551991500,1.01192,1.01198,1.01186,1.01196,0,0
1551991800,1.01196,1.01196,1.01178,1.01188,0,0
1551992100,1.01188,1.0121,1.01177,1.01199,0,0
1551992400,1.01199,1.01226,1.01197,1.01224,0,0
1551992700,1.01224,1.01224,1.01207,1.01212,0,0
1551993000,1.01212,1.01212,1.01203,1.01203,0,0
1551993300,1.01203,1.01203,1.01202,1.01203,0,0
1551993600,1.01203,1.01205,1.01189,1.0119,0,0
1551993900,1.0119,1.01193,1.01168,1.01168,0,0
1551994200,1.01168,1.01177,1.01168,1.0117,0,0
1551994500,1.0117,1.01178,1.0117,1.01178,0,0
1551994800,1.01178,1.01178,1.0117,1.01177,0,0
1551995100,1.01177,1.01177,1.0113,1.01131,0,0
1551995400,1.01131,1.01133,1.01129,1.01132,0,0
1551995700,1.01132,1.01132,1.01124,1.01125,0,0
1551996000,1.01125,1.01125,1.01113,1.01117,0,0
1551996300,1.01117,1.01121,1.01048,1.01053,0,0
1551996600,1.01053,1.01115,1.01049,1.01067,0,0
1551996900,1.01067,1.01086,1.01063,1.01073,0,0
1551997200,1.01073,1.01085,1.01073,1.01075,0,0
1551997500,1.01075,1.01082,1.01068,1.01073,0,0
1551997800,1.01073,1.01086,1.0107,1.01085,0,0
1551998100,1.01085,1.01088,1.01081,1.01085,0,0
1551998400,1.01085,1.01104,1.0108,1.01081,0,0
1551998700,1.01081,1.01119,1.01081,1.01114,0,0
1551999000,1.01114,1.01117,1.01107,1.01108,0,0
1551999300,1.01108,1.0112,1.0108,1.0111,0,0
1551999600,1.0111,1.0111,1.01082,1.01084,0,0
1551999900,1.01084,1.01091,1.01082,1.01091,0,0
1552000200,1.01091,1.01093,1.01089,1.01091,0,0
1552000500,1.01091,1.01093,1.0109,1.0109,0,0
1552000800,1.0109,1.01091,1.01079,1.01079,0,0
1552001100,1.01079,1.01086,1.01079,1.01081,0,0
