time,open,high,low,close,"Pattern Alert",Volume
1564770600,106.534,106.568,106.533,106.564,0,0
1564770900,106.564,106.602,106.561,106.602,0,0
1564771200,106.602,106.602,106.562,106.58,0,0
1564771500,106.58,106.596,106.547,106.547,0,0
1564771800,106.547,106.566,106.542,106.544,0,0
1564772100,106.544,106.572,106.536,106.562,0,0
1564772400,106.562,106.586,106.555,106.557,0,0
1564772700,106.557,106.569,106.549,106.558,0,0
1564773000,106.558,106.56,106.526,106.547,0,0
1564773300,106.547,106.557,106.543,106.557,0,0
1564773600,106.557,106.583,106.552,106.577,0,0
1564773900,106.577,106.587,106.549,106.572,0,0
1564774200,106.572,106.583,106.535,106.556,0,0
1564774500,106.556,106.632,106.555,106.596,0,0
1564774800,106.596,106.606,106.578,106.578,0,0
1564775100,106.578,106.65,106.571,106.627,0,0
1564775400,106.627,106.627,106.568,106.575,0,0
1564775700,106.575,106.616,106.575,106.599,0,0
1564776000,106.599,106.599,106.573,106.581,0,0
1564776300,106.581,106.584,106.547,106.575,0,0
1564776600,106.575,106.58,106.562,106.57,0,0
1564776900,106.57,106.571,106.55,106.551,0,0
1564777200,106.551,106.575,106.551,106.559,0,0
1564777500,106.559,106.576,106.558,106.575,0,0
1564777800,106.575,106.581,106.571,106.571,0,0
1564778100,106.571,106.578,106.567,106.578,0,0
1564778400,106.578,106.591,106.571,106.583,0,0
1564778700,106.583,106.584,106.574,106.58,0,0
1564779000,106.58,106.591,106.576,106.588,0,0
1564779300,106.588,106.626,106.588,106.592,0,0
